date,log_reer
1999-01-14,4.770887524213229
1999-01-15,4.773714572541859
1999-01-18,4.776110646036951
1999-01-19,4.778075744698505
1999-01-20,4.779609868526519
1999-01-21,4.780713017520995
1999-01-22,4.781385191681932
1999-01-25,4.78162639100933
1999-01-26,4.78143661550319
1999-01-27,4.780815865163511
1999-01-28,4.779764139990294
1999-01-29,4.778281439983537
1999-02-01,4.765940179994466
1999-02-02,4.764800076642934
1999-02-03,4.763668074844045
1999-02-04,4.7625441745978
1999-02-05,4.7614283759042
1999-02-08,4.760320678763243
1999-02-09,4.75922108317493
1999-02-10,4.758129589139262
1999-02-11,4.757046196656238
1999-02-12,4.7559709057258575
1999-02-15,4.754903716348122
1999-02-16,4.753844628523029
1999-02-17,4.752793642250581
1999-02-18,4.751750757530777
1999-02-19,4.750715974363618
1999-02-22,4.7496892927491015
1999-02-23,4.74867071268723
1999-02-24,4.747660234178002
1999-02-25,4.746657857221419
1999-02-26,4.745663581817479
1999-03-01,4.742160093402546
1999-03-02,4.741338009826573
1999-03-03,4.7405513851540135
1999-03-04,4.739800219384868
1999-03-05,4.7390845125191365
1999-03-08,4.738404264556818
1999-03-09,4.737759475497914
1999-03-10,4.737150145342424
1999-03-11,4.736576274090348
1999-03-12,4.736037861741686
1999-03-15,4.7355349082964375
1999-03-16,4.735067413754603
1999-03-17,4.734635378116183
1999-03-18,4.734238801381175
1999-03-19,4.733877683549583
1999-03-22,4.733552024621404
1999-03-23,4.733261824596639
1999-03-24,4.733007083475288
1999-03-25,4.73278780125735
1999-03-26,4.732603977942827
1999-03-29,4.732455613531718
1999-03-30,4.732342708024022
1999-03-31,4.73226526141974
1999-04-01,4.739159046706457
1999-04-02,4.739067742476799
1999-04-05,4.738929030250207
1999-04-06,4.738742910026684
1999-04-07,4.738509381806227
1999-04-08,4.738228445588837
1999-04-09,4.737900101374515
1999-04-12,4.73752434916326
1999-04-13,4.737101188955072
1999-04-14,4.736630620749951
1999-04-15,4.736112644547897
1999-04-16,4.735547260348911
1999-04-19,4.734934468152992
1999-04-20,4.7342742679601395
1999-04-21,4.7335666597703545
1999-04-22,4.732811643583637
1999-04-23,4.732009219399986
1999-04-26,4.731159387219403
1999-04-27,4.730262147041887
1999-04-28,4.729317498867438
1999-04-29,4.728325442696056
1999-04-30,4.727285978527741
1999-05-03,4.716284712903178
1999-05-04,4.7152288872632315
1999-05-05,4.714255863965978
