date,log_rgdp
1999-01-14,13.092190782731905
1999-01-15,13.091929877696058
1999-01-18,13.091675501996168
1999-01-19,13.091427655632234
1999-01-20,13.091186338604256
1999-01-21,13.090951550912234
1999-01-22,13.090723292556168
1999-01-25,13.090501563536058
1999-01-26,13.090286363851904
1999-01-27,13.090077693503707
1999-01-28,13.089875552491465
1999-01-29,13.08967994081518
1999-02-01,13.089490858474852
1999-02-02,13.08930830547048
1999-02-03,13.089132281802062
1999-02-04,13.088962787469603
1999-02-05,13.088799822473097
1999-02-08,13.08864338681255
1999-02-09,13.088493480487958
1999-02-10,13.088350103499321
1999-02-11,13.088213255846641
1999-02-12,13.088082937529919
1999-02-15,13.087959148549151
1999-02-16,13.08784188890434
1999-02-17,13.087731158595485
1999-02-18,13.087626957622586
1999-02-19,13.087529285985642
1999-02-22,13.087438143684656
1999-02-23,13.087353530719625
1999-02-24,13.087275447090551
1999-02-25,13.087203892797433
1999-02-26,13.08713886784027
1999-03-01,13.087080372219065
1999-03-02,13.087028405933815
1999-03-03,13.08698296898452
1999-03-04,13.086944061371183
1999-03-05,13.086911683093803
1999-03-08,13.086885834152376
1999-03-09,13.086866514546907
1999-03-10,13.086853724277395
1999-03-11,13.086847463343839
1999-03-12,13.086847731746237
1999-03-15,13.086854529484592
1999-03-16,13.086867856558904
1999-03-17,13.086887712969173
1999-03-18,13.086914098715397
1999-03-19,13.086947013797577
1999-03-22,13.086986458215712
1999-03-23,13.087032431969805
1999-03-24,13.087084935059853
1999-03-25,13.087143967485858
1999-03-26,13.087209529247819
1999-03-29,13.087281620345736
1999-03-30,13.087360240779608
1999-03-31,13.087445390549439
1999-04-01,13.090738265893089
1999-04-02,13.0908159577609
1999-04-05,13.090893766868545
1999-04-06,13.090971693216026
1999-04-07,13.091049736803347
1999-04-08,13.091127897630503
1999-04-09,13.091206175697497
1999-04-12,13.091284571004326
1999-04-13,13.091363083550993
1999-04-14,13.091441713337497
1999-04-15,13.091520460363837
1999-04-16,13.091599324630016
1999-04-19,13.091678306136028
1999-04-20,13.09175740488188
1999-04-21,13.091836620867568
1999-04-22,13.091915954093093
1999-04-23,13.091995404558455
1999-04-26,13.092074972263653
1999-04-27,13.092154657208688
1999-04-28,13.092234459393561
1999-04-29,13.09231437881827
1999-04-30,13.092394415482815
1999-05-03,13.092474569387198
1999-05-04,13.092554840531417
1999-05-05,13.092635228915473
1999-05-06,13.092715734539366
1999-05-07,13.092796357403095
1999-05-10,13.092877097506662
1999-05-11,13.092957954850066
1999-05-12,13.093038929433307
1999-05-13,13.093120021256384
1999-05-14,13.093201230319297
1999-05-17,13.093282556622048
1999-05-18,13.093364000164636
1999-05-19,13.09344556094706
1999-05-20,13.093527238969322
1999-05-21,13.09360903423142
1999-05-24,13.093690946733355
1999-05-25,13.093772976475126
1999-05-26,13.093855123456736
1999-05-27,13.093937387678181
1999-05-28,13.094019769139463
