date,direct_pct
1999-01-14,0.009153262354433329
1999-01-15,0.010882745726292206
1999-01-18,0.012926690279543396
1999-01-19,0.015285096014186896
1999-01-20,0.017957962930222702
1999-01-21,0.020945291027650827
1999-01-22,0.02424708030647126
1999-01-25,0.027863330766684003
1999-01-26,0.031794042408289064
1999-01-27,0.03603921523128642
1999-01-28,0.040598849235676096
1999-01-29,0.04547294442145809
1999-02-01,0.02581698167592365
1999-02-02,0.026779201015504822
1999-02-03,0.027854626380387226
1999-02-04,0.02904325777057086
1999-02-05,0.03034509518605573
1999-02-08,0.03176013862684183
1999-02-09,0.03328838809292916
1999-02-10,0.03492984358431772
1999-02-11,0.03668450510100752
1999-02-12,0.038552372642998545
1999-02-15,0.040533446210290806
1999-02-16,0.0426277258028843
1999-02-17,0.04483521142077902
1999-02-18,0.047155903063974984
1999-02-19,0.04958980073247217
1999-02-22,0.052136904426270586
1999-02-23,0.05479721414537024
1999-02-24,0.05757072988977112
1999-02-25,0.06045745165947324
1999-02-26,0.06345737945447659
1999-03-01,0.09637958904405869
1999-03-02,0.09883116300453816
1999-03-03,0.10102723803827574
1999-03-04,0.10296781414527141
1999-03-05,0.10465289132552519
1999-03-08,0.10608246957903705
1999-03-09,0.10725654890580703
1999-03-10,0.1081751293058351
1999-03-11,0.10883821077912127
1999-03-12,0.10924579332566554
1999-03-15,0.10939787694546792
1999-03-16,0.10929446163852839
1999-03-17,0.10893554740484697
1999-03-18,0.10832113424442363
1999-03-19,0.1074512221572584
1999-03-22,0.10632581114335128
1999-03-23,0.10494490120270225
1999-03-24,0.10330849233531132
1999-03-25,0.1014165845411785
1999-03-26,0.09926917782030376
1999-03-29,0.09686627217268713
1999-03-30,0.0942078675983286
1999-03-31,0.09129396409722816
1999-04-01,-0.046894736101445136
1999-04-02,-0.0488111418990612
1999-04-05,-0.049330487319730866
1999-04-06,-0.04845277236345416
1999-04-07,-0.04617799703023106
1999-04-08,-0.042506161320061596
1999-04-09,-0.03743726523294574
1999-04-12,-0.03097130876888351
1999-04-13,-0.023108291927874895
1999-04-14,-0.013848214709919895
1999-04-15,-0.0031910771150185126
1999-04-16,0.008863120856829238
1999-04-19,0.022314379205623406
1999-04-20,0.03716269793136391
1999-04-21,0.0534080770340508
1999-04-22,0.07105051651368412
1999-04-23,0.09009001637026376
1999-04-26,0.11052657660378977
1999-04-27,0.13236019721426226
1999-04-28,0.15559087820168105
1999-04-29,0.18021861956604623
1999-04-30,0.20624342130735784
1999-05-03,0.5471032681393866
1999-05-04,0.573099273358058
1999-05-05,0.5963636187191306
1999-05-06,0.6168963042226043
1999-05-07,0.6346973298684793
1999-05-10,0.6497666956567554
1999-05-11,0.6621044015874326
1999-05-12,0.671710447660511
1999-05-13,0.6785848338759906
1999-05-14,0.6827275602338714
1999-05-17,0.6841386267341533
1999-05-18,0.6828180333768363
1999-05-19,0.6787657801619206
1999-05-20,0.671981867089406
1999-05-21,0.6624662941592927
1999-05-24,0.6502190613715804
1999-05-25,0.6352401687262693
1999-05-26,0.6175296162233594
1999-05-27,0.5970874038628508
1999-05-28,0.5739135316447431
1999-05-31,0.5480079995690368
1999-06-01,0.21619159446730624
1999-06-02,0.19014191090933152
1999-06-03,0.1653780451842643
1999-06-04,0.14189999729210462
1999-06-07,0.11970776723285247
1999-06-08,0.09880135500650784
1999-06-09,0.07918076061307076
1999-06-10,0.0608459840525412
1999-06-11,0.04379702532491914
1999-06-14,0.028033884430204603
1999-06-15,0.013556561368397606
1999-06-16,0.0003650561394981412
1999-06-17,-0.011540631256493822
1999-06-18,-0.022160500819578238
1999-06-21,-0.03149455254975512
1999-06-22,-0.039542786447024504
1999-06-23,-0.04630520251138634
1999-06-24,-0.05178180074284066
1999-06-25,-0.05597258114138746
1999-06-28,-0.05887754370702671
1999-06-29,-0.06049668843975845
1999-06-30,-0.060830015339582676
1999-07-01,0.034318833536467815
1999-07-02,0.03538700120999943
1999-07-05,0.03657084562397935
1999-07-06,0.03787036677840758
1999-07-07,0.03928556467328411
1999-07-08,0.040816439308608954
1999-07-09,0.0424629906843821
1999-07-12,0.044225218800603545
1999-07-13,0.0461031236572733
1999-07-14,0.048096705254391366
1999-07-15,0.05020596359195774
1999-07-16,0.052430898669972414
1999-07-19,0.0547715104884354
1999-07-20,0.057227799047346685
1999-07-21,0.05979976434670627
1999-07-22,0.06248740638651418
1999-07-23,0.06529072516677038
1999-07-26,0.06820972068747488
1999-07-27,0.07124439294862771
1999-07-28,0.07439474195022884
1999-07-29,0.07766076769227825
1999-07-30,0.08104247017477599
1999-08-02,0.12345033618567579
1999-08-03,0.12658003206474772
1999-08-04,0.12934204459994558
1999-08-05,0.1317363737912693
1999-08-06,0.13376301963871895
1999-08-09,0.13542198214229448
1999-08-10,0.13671326130199593
1999-08-11,0.13763685711782328
1999-08-12,0.1381927695897765
1999-08-13,0.13838099871785564
1999-08-16,0.13820154450206068
1999-08-17,0.13765440694239162
1999-08-18,0.13673958603884845
1999-08-19,0.1354570817914312
1999-08-20,0.13380689420013983
1999-08-23,0.13178902326497438
1999-08-24,0.1294034689859348
1999-08-25,0.12665023136302117
1999-08-26,0.12352931039623338
1999-08-27,0.12004070608557152
1999-08-30,0.11618441843103557
1999-08-31,0.1119604474326255
1999-09-01,0.05615678434176628
1999-09-02,0.05183362067732944
1999-09-03,0.04777894769073994
1999-09-06,0.043992765381997756
1999-09-07,0.0404750737511029
1999-09-08,0.037225872798055386
1999-09-09,0.03424516252285519
1999-09-10,0.03153294292550233
1999-09-13,0.029089214005996795
1999-09-14,0.026913975764338585
1999-09-15,0.025007228200527705
1999-09-16,0.023368971314564158
1999-09-17,0.021999205106447935
1999-09-20,0.02089792957617904
1999-09-21,0.020065144723757478
1999-09-22,0.01950085054918324
1999-09-23,0.019205047052456334
1999-09-24,0.019177734233576757
1999-09-27,0.019418912092544503
1999-09-28,0.019928580629359583
1999-09-29,0.020706739844021986
1999-09-30,0.02175338973653173
1999-10-01,0.04961007534547483
1999-10-04,0.05092106803089811
1999-10-05,0.052165287089942024
1999-10-06,0.053342732522606566
1999-10-07,0.05445340432889175
1999-10-08,0.05549730250879758
1999-10-11,0.056474427062324035
1999-10-12,0.05738477798947113
1999-10-13,0.05822835529023886
1999-10-14,0.05900515896462723
1999-10-15,0.059715189012636234
1999-10-18,0.06035844543426588
1999-10-19,0.060934928229516155
1999-10-20,0.06144463739838707
1999-10-21,0.06188757294087862
1999-10-22,0.06226373485699081
1999-10-25,0.06257312314672364
1999-10-26,0.0628157378100771
1999-10-27,0.0629915788470512
1999-10-28,0.06310064625764594
1999-10-29,0.0631429400418613
1999-11-01,0.053269351906041026
1999-11-02,0.05330751189021828
1999-11-03,0.05340719898063843
