date,debtsec_pct
1999-01-14,-0.6520444328339576
1999-01-15,-0.6439013320608904
1999-01-18,-0.6356579557535157
1999-01-19,-0.6273143039118334
1999-01-20,-0.6188703765358436
1999-01-21,-0.6103261736255462
1999-01-22,-0.6016816951809414
1999-01-25,-0.5929369412020289
1999-01-26,-0.584091911688809
1999-01-27,-0.5751466066412815
1999-01-28,-0.5661010260594465
1999-01-29,-0.556955169943304
1999-02-01,-0.5571497910735862
1999-02-02,-0.5522879967379797
1999-02-03,-0.5473901032100223
1999-02-04,-0.5424561104897144
1999-02-05,-0.5374860185770558
1999-02-08,-0.5324798274720465
1999-02-09,-0.5274375371746863
1999-02-10,-0.5223591476849756
1999-02-11,-0.517244659002914
1999-02-12,-0.5120940711285018
1999-02-15,-0.5069073840617389
1999-02-16,-0.5016845978026252
1999-02-17,-0.4964257123511609
1999-02-18,-0.4911307277073458
1999-02-19,-0.48579964387118
1999-02-22,-0.48043246084266356
1999-02-23,-0.47502917862179633
1999-02-24,-0.4695897972085784
1999-02-25,-0.4641143166030098
1999-02-26,-0.45860273680509045
1999-03-01,-0.7476444845989414
1999-03-02,-0.7394496407080693
1999-03-03,-0.7278840216135165
1999-03-04,-0.712947627315283
1999-03-05,-0.6946404578133687
1999-03-08,-0.6729625131077737
1999-03-09,-0.647913793198498
1999-03-10,-0.6194942980855416
1999-03-11,-0.5877040277689045
1999-03-12,-0.5525429822485866
1999-03-15,-0.5140111615245879
1999-03-16,-0.4721085655969085
1999-03-17,-0.42683519446554846
1999-03-18,-0.3781910481305075
1999-03-19,-0.326176126591786
1999-03-22,-0.2707904298493838
1999-03-23,-0.21203395790330082
1999-03-24,-0.149906710753537
1999-03-25,-0.08440868840009258
1999-03-26,-0.015539890842967419
1999-03-29,0.056699681917838474
1999-03-30,0.1323100298823252
1999-03-31,0.2112911530504925
1999-04-01,1.1054610065127275
1999-04-02,1.1851795505934728
1999-04-05,1.2585214722753042
1999-04-06,1.3254867715582215
1999-04-07,1.386075448442225
1999-04-08,1.4402875029273143
1999-04-09,1.4881229350134897
1999-04-12,1.529581744700751
1999-04-13,1.5646639319890983
1999-04-14,1.5933694968785317
1999-04-15,1.615698439369051
1999-04-16,1.6316507594606562
1999-04-19,1.6412264571533477
1999-04-20,1.6444255324471249
1999-04-21,1.6412479853419881
1999-04-22,1.6316938158379375
1999-04-23,1.6157630239349727
1999-04-26,1.593455609633094
1999-04-27,1.5647715729323013
1999-04-28,1.5297109138325946
1999-04-29,1.488273632333974
1999-04-30,1.440459728436439
1999-05-03,0.775444204799953
1999-05-04,0.7199852223913109
1999-05-05,0.6658382851226873
1999-05-06,0.6130033929940821
1999-05-07,0.5614805460054954
1999-05-10,0.511269744156927
1999-05-11,0.46237098744837735
1999-05-12,0.414784275879846
1999-05-13,0.36850960945133315
1999-05-14,0.3235469881628388
1999-05-17,0.2798964120143629
1999-05-18,0.23755788100590536
1999-05-19,0.19653139513746645
1999-05-20,0.1568169544090459
1999-05-21,0.11841455882064389
1999-05-24,0.08132420837226026
1999-05-25,0.04554590306389519
1999-05-26,0.011079642895548525
1999-05-27,-0.022074572132779635
1999-05-28,-0.05391674202108937
