lag,bic
1,-30.40000492880152
2,-30.57141298477251
3,-29.837956917334605
4,-28.26616147265964
5,-26.641892202888066
6,-25.343973352185007
7,-23.77226157811927
8,-22.260057966419936
9,-20.70561585749082
10,-19.261706650965394
11,-17.84717767811933
12,-16.53649589423771
