horizon_days,shock_risk_off,shock_log_wui,shock_spread,shock_log_rgdp,shock_log_reer,shock_log_nikkei,shock_debtsec_pct,shock_equity_pct,shock_other_pct,shock_direct_pct
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0024,0.0007,0.0418,0.9552,0.0,0.0,0.0,0.0,0.0
