horizon_days,shock_risk_off,shock_log_wui,shock_spread,shock_log_rgdp,shock_log_reer,shock_log_nikkei,shock_debtsec_pct,shock_equity_pct,shock_other_pct,shock_direct_pct
1,0.9967,0.0,0.0004,0.0,0.0001,0.0,0.0002,0.0006,0.002,0.0
5,0.9488,0.0002,0.0008,0.0002,0.0007,0.0001,0.0184,0.0066,0.0243,0.0
20,0.4682,0.0015,0.0022,0.0032,0.0065,0.0001,0.0789,0.063,0.3763,0.0
60,0.0517,0.004,0.0041,0.0065,0.0217,0.0001,0.0606,0.1458,0.7056,0.0001
125,0.0416,0.0044,0.0076,0.0064,0.0214,0.0001,0.073,0.1439,0.7015,0.0001
