variable,peak_response,peak_day
risk_off,0.060756427484818534,0
log_wui,0.004469695577623803,31
spread,0.007390664750970983,124
log_rgdp,0.00604884016120516,31
log_reer,0.010518798287410995,33
log_nikkei,0.0005860858652567181,33
debtsec_pct,0.012831478062082716,21
equity_pct,0.02482144817364177,33
other_pct,0.04875222534059248,31
direct_pct,0.0009441284703430676,43
