variable,peak_response,peak_day
risk_off,1.0,0
log_wui,0.47731906669313995,16
spread,0.047262542837849766,1
log_rgdp,41.257929223189244,41
log_reer,11.67519602054191,26
log_nikkei,0.4564617318772789,14
debtsec_pct,0.037492859250986985,10
equity_pct,0.042153147177263255,6
other_pct,0.02321737700610449,33
direct_pct,0.1327056086250118,4
