lag,bic
1,-31.599672772662856
2,-32.49957058833996
3,-32.794260153558106
4,-31.923364141868063
5,-30.705685880484644
6,-29.83488116842534
7,-28.502640875616784
8,-27.191112424879883
9,-25.94953890317621
10,-24.591450139151895
11,-23.229128072598243
12,-21.942796954566354
