horizon_days,shock_risk_off,shock_log_wui,shock_spread,shock_log_rgdp,shock_log_reer,shock_log_nikkei,shock_debtsec_pct,shock_equity_pct,shock_other_pct,shock_direct_pct
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0013,0.0009,0.0327,0.9651,0.0,0.0,0.0,0.0,0.0
