lag,aic
1,-61.26725321767785
2,-61.561270094730666
3,-61.733187965194205
4,-61.80572721520564
5,-61.86001411365368
6,-61.89211850581243
7,-61.902880436708706
8,-61.90756170731616
9,-61.90793484135032
10,-61.902798866611036
11,-61.89208621707927
12,-61.875257985206716
13,-61.856666363878865
14,-61.836048695759494
15,-61.81685611730611
16,-61.793554262980955
17,-61.77030279930796
18,-61.76179861558875
19,-61.80904687226082
20,-61.88471430790378
