lag,aic
1,-73.8544317831792
2,-76.59628924721882
3,-77.65324730166556
4,-78.15393998857125
5,-79.20029831162935
6,-80.81611603136379
7,-80.87119243599207
8,-80.95988744130818
9,-81.04040295686542
10,-81.12313474062644
11,-81.1555108861583
12,-81.14907856834722
13,-81.14466604863388
14,-81.13639509800899
15,-81.234178167416
16,-81.23593683791798
17,-81.23281484650903
18,-81.24145820522725
19,-81.25169740537459
20,-81.26856836669722
