variable,peak_response,peak_day
risk_off,0.05743680794987956,0
log_wui,0.004926251739272449,30
spread,0.003867507027595297,124
log_rgdp,0.006242425873978461,30
log_reer,0.011579647967382827,30
log_nikkei,0.0005998354855906257,30
debtsec_pct,0.01735715125958998,30
equity_pct,0.02970574574668456,31
other_pct,0.06582789883796857,30
direct_pct,0.0009007230732708757,41
