variable,peak_response,peak_month
risk_off,0.10449055952279203,0
log_wui,0.02760688052081765,9
spread,0.09120116561189252,2
log_rgdp,0.0008357790176524258,6
log_reer,0.004448754057556074,1
log_nikkei,0.02534710852570751,4
debtsec_pct,0.3250602745467384,3
equity_pct,0.14902641016850812,0
other_pct,0.2354496303062115,3
direct_pct,0.05401566381370736,2
