horizon_months,shock_risk_off,shock_log_wui,shock_spread,shock_log_rgdp,shock_log_reer,shock_log_nikkei,shock_debtsec_pct,shock_equity_pct,shock_other_pct,shock_direct_pct
1,1.0,0.8293,0.7581,0.7094,0.6923,0.6818,0.6674,0.6569,0.6531,0.65
3,0.0165,0.0728,0.1476,0.1731,0.1762,0.1862,0.1928,0.195,0.1942,0.1929
6,0.1398,0.1257,0.0995,0.1063,0.1146,0.1178,0.1168,0.1169,0.1156,0.1131
