variable,peak_response,peak_month
risk_off,0.09867701379336434,0
log_wui,0.014690350923565763,5
spread,0.07652239140380214,2
log_rgdp,0.0008659275957227739,6
log_reer,0.00477584046969222,1
log_nikkei,0.025791852508581004,7
debtsec_pct,0.3206423975198234,3
equity_pct,0.14598157758333408,0
other_pct,0.24262567078229003,3
direct_pct,0.04978264492292429,2
