date,direct_pct
1996-01-01,NA
1996-02-01,NA
1996-03-01,NA
1996-04-01,NA
1996-05-01,NA
1996-06-01,NA
1996-07-01,NA
1996-08-01,NA
1996-09-01,NA
1996-10-01,NA
1996-11-01,NA
1996-12-01,NA
1997-01-01,NA
1997-02-01,NA
1997-03-01,NA
1997-04-01,NA
1997-05-01,NA
1997-06-01,NA
1997-07-01,NA
1997-08-01,NA
1997-09-01,NA
1997-10-01,NA
1997-11-01,NA
1997-12-01,NA
1998-01-01,NA
1998-02-01,NA
1998-03-01,NA
1998-04-01,NA
1998-05-01,NA
1998-06-01,NA
1998-07-01,NA
1998-08-01,NA
1998-09-01,NA
1998-10-01,NA
1998-11-01,NA
1998-12-01,NA
1999-01-01,0.024430542558516233
1999-02-01,0.041410808844115084
1999-03-01,0.10367348525020667
1999-04-01,0.03077722940983304
1999-05-01,0.634058196011508
1999-06-01,0.03267716541209847
1999-07-01,0.05363196593993121
1999-08-01,0.13057430884474416
1999-09-01,0.029557913314492514
1999-10-01,0.05849100586234794
1999-11-01,0.05797692917690418
1999-12-01,0.08724197191301612
2000-01-01,-0.008124466803358557
2000-02-01,0.12824856144931016
2000-03-01,0.49240692975449113
2000-04-01,-0.3473995819223077
2000-05-01,-0.02581029805272942
2000-06-01,-0.14926036896113473
2000-07-01,0.342027911004472
2000-08-01,0.029787293244027926
2000-09-01,0.059655502843916956
2000-10-01,0.2021031238027801
2000-11-01,0.08247117052673741
2000-12-01,0.050056693828213226
2001-01-01,0.073292517537953
2001-02-01,0.0949963881491029
2001-03-01,-0.04561651751323591
2001-04-01,-0.029242450317695644
2001-05-01,0.006152421086120762
2001-06-01,0.07094901992033048
2001-07-01,0.06326104581061799
2001-08-01,-0.08890257539169384
2001-09-01,0.0049877701778314075
2001-10-01,0.2556504206725716
2001-11-01,0.006868379745759621
2001-12-01,0.034553762932861304
2002-01-01,0.11000410552830447
2002-02-01,0.08059132694439786
2002-03-01,0.3132327779891109
2002-04-01,0.21179165603619365
2002-05-01,-0.012458368558840407
2002-06-01,0.009559661960010107
2002-07-01,0.07616518385758825
2002-08-01,0.039855373513684574
2002-09-01,0.15685944959468356
2002-10-01,0.05428214053248456
2002-11-01,0.1602354442226966
2002-12-01,-0.09927555033592265
2003-01-01,0.2868519853389569
2003-02-01,0.02400933967369536
2003-03-01,0.07412678592849667
2003-04-01,0.11551132068448812
2003-05-01,0.022115275239873236
2003-06-01,-0.011574898594152491
2003-07-01,0.01799204442612241
