date,log_reer
1996-01-01,4.79214755431824
1996-02-01,4.789656065611423
1996-03-01,4.785072151263279
1996-04-01,4.768733569853457
1996-05-01,4.777946329938515
1996-06-01,4.753159063701541
1996-07-01,4.747797584237848
1996-08-01,4.751950917196286
1996-09-01,4.734618253174978
1996-10-01,4.7101606331790284
1996-11-01,4.705739240909787
1996-12-01,4.697840520829399
1997-01-01,4.666265285347902
1997-02-01,4.634826070895602
1997-03-01,4.640151154883337
1997-04-01,4.633757642840004
1997-05-01,4.683796506443281
1997-06-01,4.728183961883236
1997-07-01,4.732771530581813
1997-08-01,4.72384171570559
1997-09-01,4.706733501397532
1997-10-01,4.7098904967584945
1997-11-01,4.676746384477314
1997-12-01,4.6682388774550745
1998-01-01,4.704110133842995
1998-02-01,4.713576059831878
1998-03-01,4.685366727982368
1998-04-01,4.652530757347929
1998-05-01,4.63044799317236
1998-06-01,4.603568904621118
1998-07-01,4.6006600305102054
1998-08-01,4.5694393760322924
1998-09-01,4.628789051586725
1998-10-01,4.713037556857098
1998-11-01,4.720550337028165
1998-12-01,4.7394388067931255
1999-01-01,4.778535084739154
1999-02-01,4.755570986655616
1999-03-01,4.735847509629708
1999-04-01,4.734881792509748
1999-05-01,4.710970604874303
1999-06-01,4.7235752503667126
1999-07-01,4.729332828608514
1999-08-01,4.779543572932872
1999-09-01,4.836043783364212
1999-10-01,4.840321356426578
1999-11-01,4.854449210906927
1999-12-01,4.8758078238306135
2000-01-01,4.846389384029531
2000-02-01,4.81324070780478
2000-03-01,4.841348415572757
2000-04-01,4.856551278713541
2000-05-01,4.845288841508263
2000-06-01,4.850623024222136
2000-07-01,4.837788707664819
2000-08-01,4.841901010810817
2000-09-01,4.859812404361672
2000-10-01,4.850466541943434
2000-11-01,4.847488716688342
2000-12-01,4.805495367221621
2001-01-01,4.752209928637407
2001-02-01,4.765501724890431
2001-03-01,4.724374433466568
2001-04-01,4.707365698302761
2001-05-01,4.722508678405324
2001-06-01,4.725704987616829
2001-07-01,4.704110133842995
2001-08-01,4.71276819658611
2001-09-01,4.728449202148263
2001-10-01,4.711779921046349
2001-11-01,4.707907263439203
2001-12-01,4.664853188149265
2002-01-01,4.625168872494781
2002-02-01,4.616505695651837
2002-03-01,4.629374874684909
2002-04-01,4.6240900708406025
2002-05-01,4.649091373046019
2002-06-01,4.65946895939547
2002-07-01,4.6913478822291435
2002-08-01,4.6886837862159085
2002-09-01,4.67702562308852
2002-10-01,4.6450637496497675
2002-11-01,4.652530757347929
2002-12-01,4.647846460268528
2003-01-01,4.662022997580874
2003-02-01,4.6519583474868504
2003-03-01,4.656053396302661
2003-04-01,4.646312129319266
2003-05-01,4.648516990491458
2003-06-01,4.6341462942246086
2003-07-01,4.6368626327205815
2003-08-01,4.638411519767893
2003-09-01,4.662778498608405
2003-10-01,4.696928611227632
