date,equity_pct
1996-01-01,NA
1996-02-01,NA
1996-03-01,NA
1996-04-01,NA
1996-05-01,NA
1996-06-01,NA
1996-07-01,NA
1996-08-01,NA
1996-09-01,NA
1996-10-01,NA
1996-11-01,NA
1996-12-01,NA
1997-01-01,NA
1997-02-01,NA
1997-03-01,NA
1997-04-01,NA
1997-05-01,NA
1997-06-01,NA
1997-07-01,NA
1997-08-01,NA
1997-09-01,NA
1997-10-01,NA
1997-11-01,NA
1997-12-01,NA
1998-01-01,NA
1998-02-01,NA
1998-03-01,NA
1998-04-01,NA
1998-05-01,NA
1998-06-01,NA
1998-07-01,NA
1998-08-01,NA
1998-09-01,NA
1998-10-01,NA
1998-11-01,NA
1998-12-01,NA
1999-01-01,-0.06987905835350275
1999-02-01,0.5555160688166573
1999-03-01,1.1401359424507798
1999-04-01,1.080638430694525
1999-05-01,0.5192862541192662
1999-06-01,0.8633600958774276
1999-07-01,0.869599683509988
1999-08-01,0.7204036593783724
1999-09-01,0.26877719836041425
1999-10-01,1.0902948402948405
1999-11-01,1.1317942110625039
1999-12-01,0.6050368550368551
2000-01-01,0.15641947632662026
2000-02-01,0.6028897779208489
2000-03-01,-0.13119766543378472
2000-04-01,0.11555280476500955
2000-05-01,-0.6432586478998719
2000-06-01,-0.2619049894260363
2000-07-01,-0.02390528196058727
2000-08-01,-0.024347972367264815
2000-09-01,-0.391559664706286
2000-10-01,0.33552089490789194
2000-11-01,0.23271178612336982
2000-12-01,-0.05550520260588872
2001-01-01,0.5809968872830055
2001-02-01,0.375917780798351
2001-03-01,-0.3851503389421124
2001-04-01,1.6991200814132519
2001-05-01,1.1061791530242147
2001-06-01,-0.3542752003120276
2001-07-01,0.0828785587665694
2001-08-01,0.2076830370537159
2001-09-01,-0.9806173105009268
2001-10-01,0.9108218192594063
2001-11-01,0.45165029105307464
2001-12-01,-0.16230829776728317
2002-01-01,0.1604600153418353
2002-02-01,-2.7279700834212295
2002-03-01,0.0181285358135967
2002-04-01,1.3748604091783845
2002-05-01,0.7659485742247485
2002-06-01,0.251935017596192
2002-07-01,-0.3656713429152212
2002-08-01,-0.7912851087640976
2002-09-01,-1.9483167705098319
2002-10-01,1.554304062424944
2002-11-01,0.16746761098537877
2002-12-01,-0.0030093011857210915
2003-01-01,0.35771791007999865
2003-02-01,-0.5475491083818447
2003-03-01,-1.1049694390753855
2003-04-01,1.983982043449568
2003-05-01,0.5680670946928406
2003-06-01,0.757899506620142
2003-07-01,1.6933527861619506
