date,log_wui
1953-01-01,-1.989243314761688
1953-04-01,-1.9388854799183504
1954-10-01,-1.3889157940748504
1955-01-01,-2.225812032488132
1955-10-01,-2.2640521162772624
1956-01-01,-1.6420985102736658
1957-04-01,-0.9176897099878634
1957-07-01,-1.0231701783012548
1958-04-01,-1.5195131169061171
1959-07-01,-1.6572750808482735
1959-10-01,-0.9168904116461325
1960-07-01,-0.977197721677678
1961-01-01,-1.8226119499108198
1961-10-01,-1.583299029124431
1963-10-01,-0.44361692073920833
1964-01-01,-0.9671738472387293
1964-04-01,-0.8995513700198577
1964-07-01,-0.9843230826659837
1964-10-01,-0.33843460079894433
1965-01-01,-1.2405458523067785
1965-07-01,-1.716676857903718
1966-04-01,-2.155707656333315
1966-10-01,-1.5264911180131822
1967-01-01,-0.5523513380611562
1968-01-01,-0.7306837446886719
1968-04-01,-1.1622126899777205
1968-07-01,-1.3472936721701594
1968-10-01,-0.28191553095744526
1969-01-01,-1.6174060740832772
1969-07-01,-1.0579640372403114
1970-01-01,-1.5914776675571107
1970-07-01,-0.9487578817616573
1971-01-01,-1.6989130492617117
1971-04-01,-1.5756743702812952
1971-07-01,-0.05354076542802985
1971-10-01,0.14541117277385707
1972-01-01,-0.9770093581088667
1972-04-01,-0.36325324789885494
1972-07-01,-1.7029280495214605
1973-01-01,-0.5076205986837146
1973-04-01,-1.6010025900130112
1974-01-01,-0.5877865849021221
1974-04-01,-0.560377452928573
1974-07-01,-1.6538376536307966
1974-10-01,-0.5343469267740091
1975-04-01,-0.6484985330244021
1975-07-01,-1.7087401499079633
1975-10-01,-0.9635558345412734
1976-01-01,-1.7163173588612002
1976-04-01,-1.7430944557467865
1977-01-01,-0.6856189886391565
1977-07-01,-1.842452522743575
1978-01-01,-1.0119644277424389
1978-04-01,-1.1734106221433036
1978-07-01,-1.0249656228998192
1979-07-01,-1.8298576766267167
1979-10-01,-1.7940899827663426
1980-01-01,-1.8847942596952472
1980-04-01,-1.2126846424279627
1980-07-01,-1.9429056670350149
1981-01-01,-1.2243636245736786
1981-04-01,-2.0311696070062113
1981-07-01,-1.879159576308892
1981-10-01,-1.2215670119768922
1982-01-01,-1.2387364516372277
1982-04-01,-2.6728375093464676
1982-07-01,-2.0163022490059936
1982-10-01,-2.3199825550205158
1983-01-01,-2.8723772348239196
1983-04-01,-2.2680967135354733
1983-07-01,-1.7054296744628266
1984-01-01,-3.164082288481252
1985-04-01,-2.0042242422001166
1985-07-01,-3.164925189341147
1985-10-01,-3.0586592938568073
1986-07-01,-3.1712387061526344
1987-01-01,-2.7128386474340096
1987-04-01,-2.535282891113068
1987-07-01,-2.0424918669216297
1987-10-01,-3.5027318924864526
1988-04-01,-2.1558233585987043
1988-07-01,-1.7552686326456768
1988-10-01,-1.6863524346522505
1989-01-01,-2.2649348431421856
1989-04-01,-1.3110317986193467
1989-07-01,-1.832528340159393
1990-01-01,-2.8749191665373615
1990-04-01,-2.3612783311332697
1990-07-01,-2.1034023221246896
1990-10-01,-1.6680839616668446
1991-04-01,-3.0432831060123235
1992-01-01,-1.7380653491303137
1992-10-01,-2.3852702054126858
1993-07-01,-1.604505596328553
1993-10-01,-2.2995806109737473
1994-01-01,-2.518099073643912
1994-04-01,-3.160187193519588
1994-07-01,-2.339399503616858
1994-10-01,-3.14022177323901
1995-04-01,-3.0867604343015644
1995-07-01,-2.4379020788417236
1995-10-01,-2.5105334285757763
1996-01-01,-1.9071696473389361
1996-04-01,-2.3213082830922382
1996-07-01,-3.104182000359305
1996-10-01,-3.012933367773772
1997-01-01,-2.945018246909609
1997-04-01,-2.215555466170945
1998-01-01,-3.0828731134690384
1998-10-01,-1.9933387106264329
1999-01-01,-1.9853138789551377
1999-04-01,-1.5223972858722434
1999-07-01,-1.9898356001523325
2000-01-01,-2.325666429387392
2000-04-01,-2.392060229821657
2000-07-01,-1.8004991492148097
2000-10-01,-1.4304907926541044
2001-01-01,-1.1055218044890502
2001-04-01,-1.4284555853413832
2001-07-01,-0.9986693114067338
2001-10-01,-1.4239513694969894
2002-01-01,-2.120103548998726
2002-10-01,-1.075855206545498
2003-01-01,-1.7440853561834861
2003-04-01,-0.6798930064815311
2003-07-01,-1.2603343592716938
2003-10-01,-2.9638809555049956
2004-01-01,-1.86619706493242
2004-07-01,-2.0967285039164585
2004-10-01,-2.693747967391451
2005-01-01,-2.125191491986395
2005-07-01,-1.2680737323324596
2005-10-01,-1.7916482754103167
2006-01-01,-2.8429305030960443
2006-04-01,-2.879367131522737
2006-07-01,-2.143354765023494
2006-10-01,-2.1767386541281066
2007-01-01,-1.5058534229775449
2007-04-01,-2.204420808206815
2007-07-01,-2.9728735366080636
2007-10-01,-1.561996753000634
2008-01-01,-1.2268099310620324
2008-04-01,-0.9458495716157002
2008-07-01,-1.212536030986424
2008-10-01,-1.1718628900077122
2009-01-01,-2.3089643975581304
2009-04-01,-2.35896498643025
2009-07-01,-1.0312252658662546
2009-10-01,-2.4695397280570326
2010-01-01,-1.2529533366142285
2010-07-01,-2.3743475104209377
2010-10-01,-1.3556631244330537
2011-01-01,-1.8331409952568727
2011-04-01,-0.7731128911978296
2011-07-01,-1.7665269048769003
2011-10-01,-1.0617752796661428
2012-01-01,-0.8307327230125158
2012-04-01,-1.4396575858094764
2012-07-01,-1.4069951516439316
2012-10-01,-0.9040445237139129
2013-01-01,-0.9265239127256126
2013-10-01,-1.5121560413275783
2014-01-01,-1.6866456840056794
2014-04-01,-2.728832157784908
2014-07-01,-2.194443049374349
2014-10-01,-2.0607681792142194
2015-01-01,-1.2871645762127168
2015-04-01,-2.0684438387202957
2015-07-01,-2.723530403550796
2015-10-01,-2.4845735052867925
2016-01-01,-2.771400628302978
2016-04-01,-1.9541616996530786
2016-07-01,-2.019160319994948
2016-10-01,-1.1713668693770258
2017-07-01,-2.615131059370675
2017-10-01,-1.9674623379422052
2018-04-01,-2.6250311578821663
2018-07-01,-1.6008677414843908
2018-10-01,-2.7445114052052344
2019-01-01,-1.6095044146453235
2019-04-01,-1.2930820165977126
2019-07-01,-1.9949040889856156
2019-10-01,-1.5592667974544032
2020-01-01,-0.8458681495776161
2020-04-01,-2.9895136493403025
2020-07-01,-1.3213114387431795
2020-10-01,-1.4094614579014257
2021-01-01,-2.7726511241867424
2021-04-01,-2.92423613784893
2021-07-01,-2.0836825219370905
2021-10-01,-2.1277556991584308
2022-01-01,-2.097343224915592
2022-04-01,-1.3121543323371307
2022-07-01,-2.1620582258571366
2022-10-01,-1.210501402655304
2023-01-01,-2.114144793941916
2023-04-01,-1.7264504949657304
2023-07-01,-2.7793781181158286
2024-10-01,-2.0050549226374788
2025-01-01,-0.8822512063839649
2025-04-01,-0.5080217250332569
2025-07-01,0.19275114572191637
2025-10-01,-0.6293702618679042
2026-01-01,-1.2499734627866248
