Date,Close,High,Low,Open,Volume
2018-01-02,0.0088676065206527,0.0089225964620709,0.0088661909103393,0.0088676065206527,0
2018-01-03,0.0089091621339321,0.0089132124558091,0.0088900737464427,0.0089075751602649,0
2018-01-04,0.0088804420083761,0.0088883358985185,0.0088610062375664,0.0088805211707949,0
2018-01-05,0.0088665848597884,0.0088706742972135,0.008826982229948,0.0088660344481468,0
2018-01-08,0.0088375136256217,0.0088579449802637,0.0088206753134727,0.008837747387588,0
2018-01-09,0.0088385287672281,0.0088991718366742,0.0088359517976641,0.0088359517976641,0
2018-01-10,0.0088687865063548,0.0089862598106265,0.0088676065206527,0.0088676065206527,0
2018-01-11,0.0089731169864535,0.0089819822460412,0.0089388666674494,0.0089745661243796,0
2018-01-12,0.0089852102100849,0.009008765220642,0.0089549571275711,0.0089856134727597,0
2018-01-15,0.0090009002014994,0.009050347842276,0.0089952331036329,0.0089952331036329,0
2018-01-16,0.009043144993484,0.0090414276346564,0.0090112006291747,0.0090393032878637,0
2018-01-17,0.0090589560568332,0.0090737510472536,0.0090164011344313,0.0090623218566179,0
2018-01-18,0.0089785950258374,0.0090304864570498,0.0089707020670175,0.0089814169332385,0
2018-01-19,0.0090068988502025,0.0090493643656373,0.0090004140511155,0.0090086031705141,0
2018-01-22,0.0090347295626997,0.0090404469519853,0.008997012861073,0.0090336687862873,0
2018-01-23,0.0090117687359452,0.0090698013082146,0.0089960414916276,0.0090111196041107,0
2018-01-24,0.0090820742771029,0.0091735543683171,0.0090668406337499,0.0090807555243372,0
2018-01-25,0.0091469548642635,0.0092089511454105,0.009135590866208,0.0091486284509301,0
2018-01-26,0.0091154379770159,0.0092305419966578,0.0091112023219466,0.0091189285740256,0
2018-01-29,0.0092047974467277,0.0092156557366251,0.0091584315523505,0.0092040346935391,0
2018-01-30,0.0091805439442396,0.0092229647561907,0.0091579286381602,0.0091778486967086,0
2018-01-31,0.0091969240456819,0.0092081036418676,0.0091390134766697,0.0091948956251144,0
2018-02-01,0.0091574257239699,0.0091647272929549,0.0091121150180697,0.0091592706739902,0
2018-02-02,0.0091402670368552,0.0091487960889935,0.0090524768456816,0.0091418540105223,0
2018-02-05,0.0090880170464515,0.009118347428739,0.0090699661523103,0.0090890908613801,0
2018-02-06,0.0091663226485252,0.0092190541326999,0.0091219237074255,0.0091732181608676,0
2018-02-07,0.0091218408197164,0.0091805439442396,0.0091198440641164,0.0091225057840347,0
2018-02-08,0.0091578448191285,0.0091829895973205,0.0091094588860869,0.009163299575448,0
2018-02-09,0.0092141274362802,0.0092213489115238,0.0091503029689192,0.0092100538313388,0
2018-02-12,0.0091911759227514,0.0092204138636589,0.0091923587024211,0.0091923587024211,0
2018-02-13,0.0092004779726266,0.0093080401420593,0.0091951489448547,0.0092018330469727,0
2018-02-14,0.0092795370146632,0.0093699637800455,0.0092690428718924,0.0092799672856926,0
2018-02-15,0.0093820076435804,0.0094167282804846,0.0093568125739693,0.0093815671280026,0
2018-02-16,0.0094240931794047,0.0094734653830528,0.0094011463224887,0.0094286259263753,0
2018-02-19,0.0094107901677489,0.0094252480193972,0.0093709295615553,0.0094099938869476,0
2018-02-20,0.009371280670166,0.0093769049271941,0.0093156704679131,0.0093699637800455,0
2018-02-21,0.0093126343563199,0.0093194041401147,0.0092687858268618,0.0093133281916379,0
2018-02-22,0.0092975683510303,0.0093765528872609,0.0092801395803689,0.0092910900712013,0
2018-02-23,0.0093620680272579,0.009387644007802,0.0093358475714921,0.0093593522906303,0
2018-02-26,0.0093393353745341,0.0093999980017542,0.0093402946367859,0.0093412548303604,0
2018-02-27,0.009339771233499,0.0093637341633439,0.0092902267351746,0.0093382885679602,0
2018-02-28,0.0093087330460548,0.0093823596835136,0.0093004219233989,0.0093054417520761,0
2018-03-01,0.0093773445114493,0.0093837678432464,0.0093289669603109,0.0093770809471607,0
2018-03-02,0.0094194775447249,0.0094999698922038,0.0094088427722454,0.0094184130430221,0
2018-03-05,0.0094736441969871,0.0094922594726085,0.0094354758039116,0.0094732856377959,0
2018-03-06,0.0094117643311619,0.009447063319385,0.0093938168138265,0.0094094621017575,0
2018-03-07,0.0094753494486212,0.0094776842743158,0.0094179697334766,0.0094684418290853,0
2018-03-08,0.0094174379482865,0.0094430483877658,0.0094114104285836,0.0094189457595348,0
2018-03-09,0.009397966787219,0.0094021195545792,0.0093432618305087,0.0093982312828302,0
2018-03-12,0.0093553243204951,0.009400793351233,0.0093487650156021,0.0093557620421051,0
2018-03-13,0.0094108786433935,0.0094106132164597,0.0093218358233571,0.0094057451933622,0
2018-03-14,0.0093889655545353,0.0094264922663569,0.0093690855428576,0.0093853529542684,0
2018-03-15,0.0094201872125267,0.0094526894390583,0.0094186794012784,0.0094202766194939,0
2018-03-16,0.0094065414741635,0.0094690695405006,0.0094048604369163,0.0094048604369163,0
2018-03-19,0.0094367219135165,0.0094624385237693,0.009407514706254,0.0094368113204836,0
2018-03-20,0.0094343181699514,0.0094353863969445,0.0093823596835136,0.009430581703782,0
2018-03-21,0.0093924049288034,0.009421607479453,0.0093886135146021,0.0093914344906806,0
2018-03-22,0.009440285153687,0.0094982096925377,0.0094374343752861,0.0094413552433252,0
2018-03-23,0.0095267128199338,0.0095541095361113,0.0094985701143741,0.0095257153734564,0
2018-03-26,0.0095366155728697,0.0095478156581521,0.0095017291605472,0.0095383441075682,0
2018-03-27,0.00947867333889,0.0094823576509952,0.0094439405947923,0.009474541991949,0
2018-03-28,0.0094793019816279,0.009484875947237,0.0094052143394947,0.0094766961410641,0
2018-03-29,0.0093622440472245,0.009410923346877,0.0093522621318697,0.0093633830547332,0
2018-03-30,0.0093915238976478,0.0094236498698592,0.0093893185257911,0.0093919644132256,0
2018-04-02,0.0094062760472297,0.0094373458996415,0.0093944352120161,0.0094057451933622,0
2018-04-03,0.0094518847763538,0.0094611858949065,0.0093817431479692,0.0094513492658734,0
2018-04-04,0.0093953171744942,0.009434406645596,0.0093738278374075,0.0093959355726838,0
2018-04-05,0.0093655753880739,0.0093706659972667,0.0093039693310856,0.0093646990135312,0
2018-04-06,0.0093412548303604,0.009348502382636,0.0093063078820705,0.0093387244269251,0
2018-04-09,0.009348589926958,0.0093586519360542,0.0093284454196691,0.0093501638621091,0
2018-04-10,0.0093677695840597,0.0093783121556043,0.009311594069004,0.0093703148886561,0
2018-04-11,0.0093359351158142,0.0093761133030056,0.0093327984213829,0.0093361092731356,0
2018-04-12,0.0093607539311051,0.0093718077987432,0.0093099465593695,0.0093620680272579,0
2018-04-13,0.0093264440074563,0.009323226287961,0.0092786755412817,0.0093214018270373,0
2018-04-16,0.0093024987727403,0.0093339309096336,0.0093018934130668,0.0093033639714121,0
2018-04-17,0.0093417782336473,0.0093559371307492,0.00932870618999,0.0093450956046581,0
2018-04-18,0.0093443971127271,0.0093451831489801,0.0093128951266407,0.0093433493748307,0
2018-04-19,0.0093156704679131,0.0093222707509994,0.0093013737350702,0.0093142827972769,0
2018-04-20,0.0093082133680582,0.0093105537816882,0.0092723090201616,0.0093075204640626,0
2018-04-23,0.009270504117012,0.0092822071164846,0.0092055601999163,0.0092727392911911,0
2018-04-24,0.0091944718733429,0.0091994628310203,0.0091585153713822,0.0091955717653036,0
2018-04-25,0.0091909226030111,0.0091921053826808,0.0091429408639669,0.0091910073533654,0
2018-04-26,0.0091437771916389,0.0091681722551584,0.0091367587447166,0.0091435257345438,0
2018-04-27,0.0091491304337978,0.0091759953647851,0.009129668585956,0.0091478750109672,0
