,,,,経常収支 (a+b+c),,,,,,,,資本移転等収支,金融収支 ,,,,,,誤差脱漏
,,,,Current account (a+b+c),,,,,,,,Capital account,Financial account ,,,,,,Net errors & omissions
,,,,,(a)貿易・サービス収支,,,,,(b)第一次所得収支,(c)第二次所得収支,,,直接投資,証券投資,金融派生商品,その他投資,外貨準備,
,,,,,(a)Goods & services,,,,,(b)Primary income,(c)Secondary income,,,Direct investment,Portfolio investment,Financial derivatives(other than reserves),Other investment,Reserve assets,
,,,,,,貿易収支,,,サービス収支,,,,,,,,,,
,8月,,Aug,"8,074","3,071","9,247","37,641","28,394","-6,176","5,623",-620,-217,"5,674","2,097","9,690",117,"-7,730","1,500","-2,183"
,9月,,Sep,"11,437","7,062","12,877","42,546","29,669","-5,815","4,929",-554,-645,"22,599","2,760","4,279","1,058","13,093","1,409","11,807"
,10月,,Oct,"10,830","6,408","12,969","44,485","31,516","-6,561","5,462","-1,040",-189,"12,108","2,017","10,491","2,977","-5,633","2,256","1,467"
,11月,,Nov,"13,055","8,730","12,498","40,426","27,928","-3,769","4,914",-589,-131,"11,150","1,146","-26,555",-385,"35,850","1,093","-1,775"
,12月,,Dec,"13,070","8,692","14,070","44,994","30,924","-5,377","5,446","-1,069",-201,"23,412","2,076","-61,513",632,"91,259","-9,042","10,544"
平成10年,1月,1998,Jan,"4,661",204,"5,720","36,964","31,243","-5,517","5,321",-864,-870,"9,166","2,126","5,016",-86,597,"1,513","5,375"
,2月,,Feb,"16,657","10,625","14,739","39,329","24,591","-4,114","6,663",-630,"-1,808","11,055","2,097","23,470",858,"-17,123","1,752","-3,794"
,3月,,Mar,"15,484","9,442","14,351","43,944","29,593","-4,909","8,034","-1,993","-3,855","19,563","4,780","7,358","1,570","4,625","1,230","7,934"
,4月,,Apr,"11,193","6,543","13,700","41,576","27,877","-7,157","5,431",-781,-105,"12,492","2,201","17,528",-140,"17,390","-24,487","1,404"
,5月,,May,"13,445","9,122","14,117","38,648","24,531","-4,995","4,934",-611,-165,"18,394","2,017","9,277","1,817","3,602","1,681","5,114"
,6月,,Jun,"12,632","8,789","13,469","41,135","27,666","-4,680","4,790",-947,-853,"21,137","1,717","-9,028",853,"28,756","-1,161","9,358"
