,,,,Total（a+b+c+ｄ),,,中央銀行,,,預金取扱機関,,,,,,,,,一般政府,,,その他部門,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Central bank (a),,,"Deposit-taking corporations,",,,銀行等（銀行勘定）,,,信託銀行（銀行勘定）,,,General government (c),,,Other sectors （d),,,その他金融機関,,,,,,,,,,,,,,,,,,,,,その他,,
,,,,,,,,,,except the central bank(b),,,Banks（banking accounts),,,Trust banks(banking accounts）,,,,,,,,,Other financial corporations,,,銀行等（信託勘定）,,,信託銀行（信託勘定）,,,金融商品取引業者,,,生命保険会社,,,損害保険会社,,,投資信託委託会社等,,,Others,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Banks（trust accounts）,,,Trust banks（trust accounts）,,,Financial instruments firms,,,Life insurance companies,,,Non-life insurance companies,,,Investment trust management companies,,,,,
,,,,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット
,,,,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net
（暦年）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Annual figures),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平成26年,,2014C.Y.,,"4,328,148","4,205,662","122,486",          --,          --,          --,"847,291","878,945","-31,654","756,979","782,098","-25,119","90,312","96,847","-6,536","1,110","1,836",-726,"3,479,747","3,324,881","154,866","3,429,389","3,200,246","229,143","3,804","4,621",-816,"482,657","445,163","37,495","2,272,865","2,169,730","103,136","240,847","199,346","41,501","8,357","8,530",-173,"420,859","372,858","48,000","50,358","124,635","-74,276"
平成27年,,2015C.Y.,,"4,549,481","4,179,653","369,829",          --,          --,          --,"716,741","654,235","62,507","642,128","594,694","47,434","74,613","59,541","15,072",198,"1,767","-1,569","3,832,542","3,523,651","308,891","3,776,101","3,382,466","393,635","2,444","1,152","1,292","573,566","475,751","97,815","2,422,899","2,326,358","96,542","267,330","206,617","60,713","7,811","6,038","1,772","502,051","366,550","135,501","56,441","141,185","-84,744"
平成28年,,2016C.Y.,,"4,738,757","4,411,686","327,071",          --,          --,          --,"737,284","697,635","39,649","655,051","608,684","46,367","82,233","88,951","-6,718",200,"1,982","-1,782","4,001,272","3,712,069","289,203","3,959,344","3,627,811","331,534",642,930,-288,"457,462","414,239","43,223","2,622,090","2,546,121","75,969","417,617","278,482","139,135","8,748","7,581","1,167","452,786","380,458","72,328","41,928","84,258","-42,330"
平成29年,,2017C.Y.,,"4,404,451","4,289,854","114,598",          --,          --,          --,"584,050","647,262","-63,212","502,917","565,317","-62,400","81,133","81,945",-812,260,660,-401,"3,820,141","3,641,931","178,211","3,772,630","3,515,502","257,128",968,370,598,"480,264","432,164","48,100","2,473,525","2,359,450","114,075","325,830","292,234","33,596","10,003","7,195","2,808","482,040","424,090","57,950","47,511","126,428","-78,917"
平成30年,,2018C.Y.,,"5,080,061","4,871,707","208,354",          --,          --,          --,"661,206","671,596","-10,390","576,316","589,255","-12,940","84,891","82,341","2,550",555,201,354,"4,418,300","4,199,910","218,390","4,365,304","4,087,168","278,135",153,456,-303,"566,168","477,982","88,187","2,860,054","2,735,718","124,337","431,855","386,985","44,870","8,261","7,016","1,245","498,812","479,012","19,800","52,996","112,742","-59,746"
令和元(平成31)年,,2019C.Y.,,"6,341,703","6,140,069","201,634",          --,          --,          --,"991,165","923,735","67,430","907,338","840,073","67,265","83,827","83,662",165,383,289,94,"5,350,155","5,216,044","134,111","5,299,895","5,091,138","208,757",678,517,161,"527,152","478,705","48,447","3,938,483","3,853,820","84,663","362,834","316,086","46,748","6,052","7,767","-1,716","464,696","434,243","30,453","50,260","124,906","-74,646"
令和2年,,2020C.Y.,,"6,173,408","6,000,946","172,462",          --,          --,          --,"1,007,043","1,024,752","-17,709","926,511","943,622","-17,111","80,532","81,130",-598,285,602,-316,"5,166,080","4,975,593","190,487","5,033,228","4,772,808","260,420",217,577,-360,"800,877","693,923","106,954","3,376,858","3,286,086","90,772","322,135","320,178","1,957","6,333","6,334",-2,"526,808","465,710","61,099","132,852","202,785","-69,933"
令和3年,,2021C.Y.,,"6,169,560","6,175,646","-6,086",          --,          --,          --,"876,542","884,933","-8,392","791,554","809,258","-17,704","84,988","75,675","9,312",277,465,-188,"5,292,741","5,290,248","2,494","5,198,011","5,098,283","99,727",216,358,-143,"864,852","915,789","-50,937","3,504,886","3,422,002","82,884","254,148","249,049","5,099","6,112","6,422",-310,"567,797","504,663","63,134","94,731","191,964","-97,233"
令和4年,,2022C.Y.,,"5,871,143","6,098,875","-227,732",          --,          --,          --,"910,125","1,050,248","-140,123","839,344","969,383","-130,039","70,781","80,865","-10,084",85,244,-159,"4,960,933","5,048,383","-87,450","4,850,301","4,858,966","-8,665",204,234,-30,"954,782","939,351","15,431","3,020,934","2,942,128","78,806","339,458","464,843","-125,386","7,768","9,061","-1,293","527,156","503,349","23,807","110,632","189,417","-78,785"
令和5年,,2023C.Y.,,"5,959,570","5,785,453","174,117",          --,          --,          --,"1,173,861","1,025,805","148,056","1,056,738","920,281","136,458","117,123","105,524","11,598",81,305,-224,"4,785,628","4,759,343","26,285","4,677,144","4,595,425","81,719",170,154,16,"798,902","813,875","-14,973","2,957,398","2,878,479","78,919","379,869","418,210","-38,341","8,427","7,699",728,"532,379","477,008","55,371","108,483","163,918","-55,434"
令和6年,,2024C.Y.,,"7,040,298","7,020,776","19,523",          --,          --,          --,"1,175,362","1,185,068","-9,706","1,048,086","1,056,983","-8,897","127,277","128,085",-809,417,338,79,"5,864,518","5,835,369","29,149","5,673,080","5,581,285","91,795",280,190,90,"897,168","976,211","-79,043","3,720,854","3,643,830","77,024","369,429","389,517","-20,088","8,714","9,881","-1,167","676,634","561,656","114,978","191,438","254,084","-62,645"
令和7年,,2025C.Y.,,"6,989,416","6,835,949","153,468",          --,          --,          --,"1,247,977","1,181,990","65,988","1,090,277","1,055,151","35,126","157,700","126,839","30,861",902,491,412,"5,740,537","5,653,468","87,068","5,478,877","5,342,330","136,548",83,65,18,"1,031,035","1,031,608",-573,"3,363,464","3,289,419","74,045","354,311","359,905","-5,593","11,372","10,398",974,"718,612","650,935","67,677","261,659","311,139","-49,479"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（月次）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Monthly figures),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平成26年,1月,2014,Jan,"272,975","298,933","-25,958",          --,          --,          --,"26,949","55,369","-28,420","23,814","50,593","-26,779","3,134","4,775","-1,641",73,66,7,"245,953","243,498","2,455","241,341","231,982","9,358",564,52,512,"31,251","34,346","-3,095","159,971","149,646","10,325","15,778","18,490","-2,712","1,196","1,063",133,"32,581","28,387","4,194","4,612","11,515","-6,903"
,2月,,Feb,"253,416","258,394","-4,978",          --,          --,          --,"39,220","48,160","-8,939","33,418","43,165","-9,747","5,802","4,994",808,44,278,-234,"214,152","209,957","4,195","210,939","201,136","9,803",90,69,20,"33,572","35,131","-1,559","133,502","125,709","7,794","13,694","12,895",799,875,545,329,"29,207","26,787","2,421","3,212","8,821","-5,608"
,3月,,Mar,"351,137","369,091","-17,954",          --,          --,          --,"88,115","103,346","-15,231","75,083","88,799","-13,716","13,032","14,547","-1,515",48,367,-318,"262,974","265,378","-2,404","258,619","253,506","5,113",38,70,-32,"37,477","41,433","-3,956","166,282","159,655","6,626","24,250","22,072","2,178",969,597,373,"29,603","29,678",-76,"4,355","11,872","-7,517"
,4月,,Apr,"337,863","328,465","9,398",          --,          --,          --,"78,207","97,790","-19,583","69,697","91,489","-21,793","8,510","6,301","2,209",52,86,-34,"259,604","230,589","29,015","256,999","224,278","32,721",88,67,21,"44,083","39,434","4,649","151,461","139,127","12,334","24,552","14,166","10,386",943,"1,607",-664,"35,873","29,877","5,996","2,605","6,311","-3,706"
,5月,,May,"402,200","372,457","29,743",          --,          --,          --,"120,602","110,282","10,320","111,757","99,443","12,314","8,845","10,839","-1,994",96,81,15,"281,502","262,094","19,408","278,165","256,242","21,923",86,86,0,"39,861","37,201","2,660","182,279","171,857","10,422","20,530","17,411","3,119",717,849,-132,"34,692","28,838","5,854","3,337","5,853","-2,515"
,6月,,Jun,"391,219","359,572","31,647",          --,          --,          --,"92,942","76,481","16,461","82,236","67,662","14,574","10,705","8,818","1,887",151,188,-37,"298,127","282,903","15,224","293,284","273,920","19,363",280,44,236,"37,120","35,211","1,909","194,645","191,574","3,071","22,679","15,569","7,110",583,525,58,"37,977","30,998","6,979","4,843","8,983","-4,140"
,7月,,Jul,"433,365","406,695","26,670",          --,          --,          --,"87,395","92,283","-4,888","81,655","86,643","-4,988","5,740","5,640",100,88,88,1,"345,882","314,324","31,558","342,097","305,333","36,764",96,97,-1,"36,334","35,432",902,"233,428","220,418","13,010","30,970","16,280","14,690",672,576,96,"40,597","32,530","8,067","3,785","8,992","-5,206"
,8月,,Aug,"377,865","354,297","23,568",          --,          --,          --,"64,968","61,304","3,664","57,469","57,436",33,"7,499","3,868","3,631",15,120,-105,"312,882","292,873","20,009","309,470","283,879","25,591","1,424",381,"1,043","48,855","39,231","9,625","207,849","200,346","7,503","17,314","13,715","3,599",430,277,153,"33,598","29,930","3,668","3,412","8,994","-5,582"
,9月,,Sep,"448,709","415,445","33,264",          --,          --,          --,"62,967","55,097","7,870","54,639","41,242","13,396","8,328","13,855","-5,527",115,225,-110,"385,628","360,123","25,505","379,833","346,671","33,162",177,698,-521,"46,939","37,122","9,817","270,949","260,050","10,898","22,091","14,078","8,013",785,863,-79,"38,892","33,860","5,033","5,795","13,452","-7,657"
,10月,,Oct,"413,671","401,462","12,209",          --,          --,          --,"82,751","90,190","-7,439","74,533","78,218","-3,685","8,218","11,972","-3,754",7,147,-139,"330,913","311,126","19,787","326,556","301,752","24,804",700,"2,773","-2,073","46,551","36,265","10,285","224,295","217,468","6,827","16,646","14,962","1,684",396,745,-349,"37,969","29,539","8,430","4,356","9,373","-5,017"
,11月,,Nov,"313,706","293,421","20,285",          --,          --,          --,"52,126","30,681","21,444","47,145","28,853","18,292","4,981","1,829","3,152",402,92,311,"261,178","262,648","-1,470","256,239","249,577","6,662",252,39,213,"43,320","39,604","3,717","166,738","156,582","10,156","13,803","14,460",-657,454,747,-292,"31,672","38,146","-6,475","4,938","13,071","-8,132"
,12月,,Dec,"332,022","347,431","-15,408",          --,          --,          --,"51,050","57,963","-6,912","45,533","48,553","-3,020","5,517","9,410","-3,892",19,100,-81,"280,954","289,368","-8,415","275,847","271,969","3,878",10,244,-234,"37,294","34,754","2,540","181,467","177,298","4,168","18,540","25,248","-6,708",337,137,200,"38,199","34,288","3,911","5,107","17,399","-12,293"
平成27年,1月,2015,Jan,"429,784","395,600","34,184",          --,          --,          --,"76,071","67,322","8,749","71,583","64,120","7,462","4,488","3,202","1,286",7,69,-62,"353,706","328,209","25,497","349,401","316,699","32,703",69,177,-107,"45,623","34,904","10,719","240,544","232,592","7,952","21,131","16,671","4,460",904,259,645,"41,130","32,097","9,033","4,304","11,510","-7,205"
,2月,,Feb,"374,396","340,187","34,209",          --,          --,          --,"53,842","44,484","9,357","50,881","40,587","10,294","2,961","3,898",-937,27,93,-65,"320,527","295,610","24,917","316,882","284,071","32,811",20,45,-26,"51,189","40,251","10,938","203,711","195,835","7,875","17,662","16,190","1,472",584,308,276,"43,717","31,442","12,275","3,645","11,539","-7,894"
,3月,,Mar,"441,033","388,243","52,790",          --,          --,          --,"68,656","41,580","27,076","63,621","37,972","25,648","5,035","3,608","1,428",3,293,-290,"372,374","346,371","26,004","367,414","329,797","37,617",433,394,39,"54,528","42,284","12,244","246,347","232,763","13,584","18,515","21,454","-2,940",887,231,656,"46,703","32,670","14,034","4,961","16,574","-11,613"
,4月,,Apr,"386,154","387,921","-1,767",          --,          --,          --,"56,512","97,633","-41,121","47,545","88,884","-41,340","8,967","8,749",218,40,36,4,"329,602","290,252","39,351","320,660","274,119","46,541",940,183,757,"50,168","41,415","8,753","195,123","185,197","9,925","30,764","16,913","13,851",903,455,448,"42,762","29,955","12,807","8,942","16,133","-7,190"
,5月,,May,"351,302","306,337","44,965",          --,          --,          --,"52,486","34,534","17,953","46,200","28,080","18,120","6,286","6,454",-167,20,52,-32,"298,796","271,752","27,044","294,909","259,090","35,819",340,104,236,"45,699","43,599","2,101","177,431","166,879","10,552","30,449","16,056","14,393",811,855,-45,"40,178","31,597","8,581","3,887","12,661","-8,774"
,6月,,Jun,"338,042","355,230","-17,188",          --,          --,          --,"49,020","79,735","-30,715","44,904","70,233","-25,329","4,116","9,502","-5,386",38,343,-305,"288,984","275,152","13,832","283,536","261,699","21,837",345,177,167,"42,557","41,502","1,055","167,610","160,279","7,331","28,389","24,611","3,778","1,252","1,097",155,"43,383","34,032","9,351","5,448","13,453","-8,005"
,7月,,Jul,"365,207","329,076","36,131",          --,          --,          --,"61,141","55,821","5,321","55,893","53,013","2,880","5,249","2,808","2,441",41,140,-98,"304,025","273,116","30,909","299,874","260,560","39,314",116,16,100,"43,938","33,840","10,098","190,444","178,511","11,933","19,969","18,525","1,444",609,429,180,"44,799","29,240","15,559","4,151","12,556","-8,405"
,8月,,Aug,"381,842","341,289","40,553",          --,          --,          --,"68,171","56,566","11,605","60,208","49,844","10,364","7,963","6,722","1,241",5,18,-13,"313,666","284,705","28,961","309,638","275,603","34,035",          --,0,0,"68,083","53,799","14,284","176,493","173,232","3,261","21,156","15,409","5,747",319,374,-55,"43,587","32,788","10,799","4,028","9,102","-5,074"
,9月,,Sep,"389,128","334,463","54,665",          --,          --,          --,"69,237","37,457","31,780","64,457","32,337","32,121","4,780","5,120",-341,3,390,-388,"319,888","296,615","23,273","315,922","287,902","28,020",3,22,-19,"45,876","35,610","10,266","211,738","209,925","1,813","19,783","18,008","1,775",360,592,-231,"38,163","23,746","14,417","3,966","8,714","-4,748"
,10月,,Oct,"404,220","359,446","44,774",          --,          --,          --,"81,210","65,648","15,562","70,878","60,565","10,313","10,332","5,083","5,249",15,76,-61,"322,995","293,722","29,273","319,882","286,682","33,200",37,7,30,"49,915","45,034","4,881","206,684","198,220","8,464","20,412","13,627","6,785",360,634,-274,"42,473","29,158","13,315","3,113","7,040","-3,927"
,11月,,Nov,"351,605","318,039","33,566",          --,          --,          --,"43,111","33,854","9,258","34,887","31,626","3,261","8,224","2,228","5,997",0,81,-81,"308,494","284,104","24,389","305,082","275,820","29,261",129,10,119,"39,839","35,228","4,611","207,358","198,810","8,548","19,302","13,974","5,328",343,421,-79,"38,112","27,376","10,735","3,412","8,284","-4,872"
,12月,,Dec,"336,768","323,821","12,947",          --,          --,          --,"37,283","39,601","-2,318","31,071","37,432","-6,361","6,212","2,169","4,043",0,177,-176,"299,485","284,043","15,441","292,900","270,423","22,476",12,15,-3,"36,150","28,285","7,865","199,417","194,114","5,303","19,798","15,177","4,621",479,383,96,"37,044","32,449","4,595","6,585","13,620","-7,035"
平成28年,1月,2016,Jan,"438,016","424,056","13,961",          --,          --,          --,"63,821","67,784","-3,963","58,988","60,568","-1,580","4,833","7,216","-2,383",9,51,-42,"374,187","356,221","17,966","371,540","350,116","21,424",          --,21,-21,"36,192","28,738","7,455","285,086","276,066","9,020","20,978","18,993","1,985",520,604,-84,"28,764","25,694","3,069","2,646","6,104","-3,458"
,2月,,Feb,"430,373","378,103","52,269",          --,          --,          --,"100,654","81,096","19,558","92,000","65,185","26,814","8,654","15,910","-7,256",71,23,48,"329,648","296,985","32,663","326,962","291,707","35,254",          --,19,-19,"45,719","33,594","12,125","211,102","207,045","4,056","34,295","20,304","13,991",208,879,-672,"35,639","29,866","5,773","2,686","5,277","-2,592"
,3月,,Mar,"422,504","353,290","69,213",          --,          --,          --,"76,165","51,167","24,998","67,115","46,165","20,950","9,050","5,002","4,048",3,"1,204","-1,201","346,336","300,919","45,417","343,410","294,819","48,591",          --,627,-627,"44,805","40,283","4,522","213,071","202,776","10,295","44,481","24,835","19,646",808,385,423,"40,245","25,913","14,332","2,926","6,100","-3,174"
,4月,,Apr,"384,723","378,436","6,286",          --,          --,          --,"65,597","74,260","-8,663","59,942","62,103","-2,161","5,655","12,157","-6,502",0,217,-217,"319,125","303,958","15,167","317,203","298,496","18,707",          --,0,0,"39,021","36,929","2,092","206,543","202,387","4,156","35,806","20,420","15,386",640,"1,035",-395,"35,194","37,726","-2,532","1,922","5,462","-3,540"
,5月,,May,"373,137","344,209","28,928",          --,          --,          --,"37,575","45,037","-7,462","32,880","42,199","-9,320","4,695","2,838","1,857",3,18,-14,"335,559","299,154","36,405","332,866","293,701","39,165",          --,25,-25,"42,365","38,203","4,162","221,611","208,054","13,556","32,388","20,397","11,991",614,250,364,"35,888","26,771","9,117","2,692","5,453","-2,760"
,6月,,Jun,"414,637","385,561","29,076",          --,          --,          --,"71,927","72,547",-619,"63,432","63,381",50,"8,496","9,165",-670,0,22,-22,"342,710","312,992","29,718","337,306","305,718","31,588",20,43,-23,"39,691","34,739","4,952","211,450","203,449","8,001","44,473","34,308","10,165",874,"1,042",-168,"40,798","32,136","8,662","5,404","7,274","-1,870"
,7月,,Jul,"404,956","332,762","72,194",          --,          --,          --,"66,478","36,628","29,850","54,871","33,103","21,768","11,607","3,525","8,082",0,35,-34,"338,478","296,099","42,378","334,202","289,362","44,840",          --,32,-32,"32,235","29,790","2,445","213,211","206,716","6,495","45,509","22,618","22,891",997,451,545,"42,251","29,755","12,495","4,275","6,737","-2,462"
,8月,,Aug,"387,271","351,874","35,397",          --,          --,          --,"37,640","37,920",-281,"31,368","34,793","-3,425","6,272","3,127","3,144",0,29,-29,"349,631","313,924","35,707","345,903","307,241","38,662",          --,19,-19,"35,344","29,670","5,674","241,200","231,533","9,667","32,209","19,454","12,754",676,505,172,"36,474","26,059","10,415","3,728","6,683","-2,955"
,9月,,Sep,"382,815","367,944","14,871",          --,          --,          --,"58,633","60,718","-2,084","50,791","54,483","-3,691","7,842","6,235","1,607",50,25,25,"324,131","307,201","16,930","320,804","299,163","21,641",180,55,125,"35,041","36,035",-994,"208,715","204,799","3,917","34,774","21,786","12,988","1,010",489,521,"41,083","35,999","5,084","3,328","8,038","-4,710"
,10月,,Oct,"369,098","342,310","26,788",          --,          --,          --,"56,526","53,361","3,165","50,938","43,110","7,828","5,589","10,251","-4,663",32,6,25,"312,540","288,943","23,597","309,783","281,737","28,047",13,8,5,"32,691","32,834",-143,"202,348","196,924","5,423","33,222","20,134","13,088",664,407,257,"40,846","31,430","9,417","2,757","7,206","-4,449"
,11月,,Nov,"422,560","406,578","15,982",          --,          --,          --,"65,170","64,236",935,"60,267","55,333","4,934","4,904","8,903","-3,999",2,278,-276,"357,389","342,065","15,324","353,565","333,192","20,373",9,36,-27,"38,957","38,078",879,"233,034","224,090","8,943","36,422","30,226","6,196","1,241",854,387,"43,902","39,907","3,994","3,823","8,873","-5,049"
,12月,,Dec,"308,667","346,563","-37,896",          --,          --,          --,"37,097","52,881","-15,784","32,460","48,261","-15,800","4,637","4,621",16,31,75,-44,"271,539","293,607","-22,068","265,799","282,557","-16,758",420,45,375,"35,401","35,346",55,"174,719","182,281","-7,562","23,058","25,004","-1,946",497,680,-183,"31,703","39,201","-7,498","5,741","11,050","-5,309"
平成29年,1月,2017,Jan,"336,267","340,637","-4,370",          --,          --,          --,"50,673","67,579","-16,907","46,592","63,379","-16,786","4,081","4,201",-120,7,14,-7,"285,587","273,044","12,543","281,195","262,310","18,885",475,43,433,"34,402","31,085","3,317","188,992","182,735","6,257","21,983","17,536","4,447","1,024",330,694,"34,319","30,581","3,738","4,392","10,733","-6,342"
,2月,,Feb,"343,726","359,920","-16,195",          --,          --,          --,"30,633","46,856","-16,223","26,906","42,081","-15,176","3,727","4,775","-1,048",151,49,102,"312,941","313,015",-73,"310,141","300,413","9,728",          --,65,-65,"37,004","36,214",790,"213,535","208,711","4,824","18,620","21,430","-2,810",832,676,156,"40,150","33,318","6,832","2,800","12,602","-9,802"
,3月,,Mar,"460,637","470,890","-10,253",          --,          --,          --,"57,926","60,593","-2,667","52,165","47,397","4,768","5,761","13,196","-7,435",14,159,-145,"402,697","410,139","-7,442","399,143","399,916",-773,18,44,-26,"43,124","47,331","-4,208","274,983","261,442","13,540","34,792","30,457","4,335","1,352","1,756",-405,"44,874","58,884","-14,010","3,554","10,223","-6,668"
,4月,,Apr,"364,588","397,340","-32,752",          --,          --,          --,"49,889","103,818","-53,929","43,897","96,660","-52,762","5,991","7,158","-1,167",2,74,-72,"314,697","293,448","21,249","312,316","287,446","24,871",0,5,-5,"43,643","35,676","7,967","201,891","191,318","10,573","27,471","21,621","5,850",412,943,-530,"38,899","37,883","1,015","2,381","6,003","-3,622"
,5月,,May,"390,722","347,885","42,838",          --,          --,          --,"68,289","49,772","18,518","59,193","45,867","13,326","9,096","3,904","5,192",18,102,-84,"322,415","298,011","24,404","319,086","290,602","28,484",4,30,-26,"46,740","40,750","5,990","208,664","196,261","12,403","21,495","19,071","2,424",582,323,260,"41,601","34,169","7,432","3,329","7,409","-4,080"
,6月,,Jun,"429,109","404,952","24,157",          --,          --,          --,"67,178","58,727","8,451","58,058","51,276","6,782","9,120","7,451","1,669",6,31,-25,"361,925","346,194","15,731","357,718","336,721","20,997",6,93,-87,"43,333","41,763","1,569","240,094","232,474","7,620","30,633","27,805","2,828",700,392,308,"42,952","34,194","8,758","4,207","9,472","-5,266"
,7月,,Jul,"378,581","319,380","59,201",          --,          --,          --,"63,492","25,612","37,880","56,358","23,040","33,318","7,135","2,572","4,562",0,119,-119,"315,089","293,649","21,439","311,674","285,175","26,499",135,1,134,"39,230","34,647","4,583","203,415","193,531","9,885","31,946","23,150","8,796","1,037",376,661,"35,911","33,470","2,440","3,415","8,474","-5,059"
,8月,,Aug,"338,923","314,593","24,330",          --,          --,          --,"46,324","53,744","-7,419","38,795","46,046","-7,251","7,529","7,698",-169,28,18,10,"292,571","260,831","31,740","285,596","252,640","32,956",          --,4,-4,"41,431","32,502","8,929","177,137","164,276","12,861","26,567","25,280","1,287",914,401,513,"39,548","30,178","9,370","6,975","8,191","-1,216"
,9月,,Sep,"386,673","378,197","8,476",          --,          --,          --,"52,820","62,254","-9,434","40,119","48,202","-8,084","12,701","14,051","-1,350",4,13,-9,"333,849","315,930","17,919","330,140","301,506","28,634",112,14,98,"39,487","33,327","6,160","219,689","212,538","7,150","30,534","23,779","6,755",828,541,287,"39,491","31,306","8,184","3,709","14,425","-10,715"
,10月,,Oct,"340,628","342,172","-1,544",          --,          --,          --,"38,891","58,710","-19,819","30,619","50,508","-19,889","8,272","8,202",70,18,42,-24,"301,719","283,420","18,300","298,225","272,773","25,451",171,11,160,"37,277","32,588","4,688","185,940","176,541","9,400","33,978","30,366","3,612",586,254,332,"40,272","33,013","7,259","3,494","10,646","-7,152"
,11月,,Nov,"360,601","350,866","9,735",          --,          --,          --,"30,169","34,498","-4,328","25,879","30,241","-4,362","4,290","4,256",34,2,18,-15,"330,429","316,351","14,079","326,078","302,035","24,043",          --,41,-41,"43,570","37,771","5,800","216,539","205,226","11,314","22,290","24,659","-2,369","1,248",950,298,"42,431","33,389","9,041","4,352","14,316","-9,964"
,12月,,Dec,"273,996","263,022","10,974",          --,          --,          --,"27,766","25,099","2,666","24,335","20,619","3,716","3,430","4,480","-1,050",8,22,-14,"246,222","237,900","8,322","241,319","223,966","17,354",46,20,26,"31,025","28,511","2,514","142,645","134,397","8,248","25,522","27,081","-1,559",489,254,234,"41,593","33,702","7,891","4,903","13,935","-9,032"
平成30年,1月,2018,Jan,"424,532","387,978","36,554",          --,          --,          --,"41,042","43,766","-2,724","36,704","36,683",21,"4,338","7,083","-2,745",1,1,0,"383,489","344,210","39,279","379,484","332,743","46,741",2,8,-6,"49,364","40,533","8,831","228,569","216,698","11,870","51,260","38,906","12,354",863,245,618,"49,427","36,353","13,074","4,006","11,468","-7,462"
