,,,,株式・投資ファンド持分,,,中長期債,,,短期債,,,合計,,,,,,株式・投資ファンド持分,,,中長期債,,,短期債,,,合計
,,,,Equity and investment fund shares,,,Long-term debt securities,,,Short-term debt securities,,,Total,,,,,,Equity and investment fund shares,,,Long-term debt securities,,,Short-term debt securities,,,Total
,,,,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,ネット,,,,,,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,ネット
,,,,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Net,,,,,,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Net
（暦年）,,,,,,,,,,,,,,,（暦年）,,,,,,,,,,,,,
(Annual figures),,,,,,,,,,,,,,,(Annual figures),,,,,,,,,,,,,
平成20年,,2008C.Y.,,          --,          --,"65,251",          --,          --,"116,501",          --,          --,"5,734","187,487",,平成20年,,2008C.Y.,,          --,          --,"-73,493",          --,          --,"-38,364",          --,          --,"17,457","-94,401"
平成21年,,2009C.Y.,,          --,          --,"28,023",          --,          --,"117,515",          --,          --,720,"146,258",,平成21年,,2009C.Y.,,          --,          --,"10,390",          --,          --,"-64,755",          --,          --,"1,139","-53,227"
平成22年,,2010C.Y.,,          --,          --,"19,234",          --,          --,"208,352",          --,          --,"-2,359","225,226",,平成22年,,2010C.Y.,,          --,          --,"34,516",          --,          --,"5,074",          --,          --,"58,622","98,213"
平成23年,,2011C.Y.,,          --,          --,"9,645",          --,          --,"75,036",          --,          --,"-7,256","77,425",,平成23年,,2011C.Y.,,          --,          --,"5,999",          --,          --,"40,129",          --,          --,"166,542","212,670"
平成24年,,2012C.Y.,,          --,          --,"-17,880",          --,          --,"132,331",          --,          --,"-2,207","112,245",,平成24年,,2012C.Y.,,          --,          --,"29,039",          --,          --,"26,651",          --,          --,"32,120","87,810"
平成25年,,2013C.Y.,,          --,          --,"-66,263",          --,          --,"-18,562",          --,          --,"2,587","-82,238",,平成25年,,2013C.Y.,,          --,          --,"166,919",          --,          --,"-6,826",          --,          --,"23,321","183,414"
平成26年,,2014C.Y.,,"537,769","471,448","66,322","3,623,157","3,577,999","45,158","167,221","156,215","11,006","122,486",,平成26年,,2014C.Y.,,"4,157,170","4,119,508","37,662","839,426","716,627","122,799","2,044,957","2,034,602","10,355","170,816"
平成27年,,2015C.Y.,,"664,324","462,709","201,614","3,704,914","3,540,406","164,508","180,244","176,538","3,707","369,829",,平成27年,,2015C.Y.,,"5,251,621","5,238,341","13,280","890,684","791,713","98,970","2,143,572","2,046,288","97,284","209,535"
平成28年,,2016C.Y.,,"555,873","465,190","90,683","3,951,929","3,705,027","246,902","230,955","241,469","-10,514","327,071",,平成28年,,2016C.Y.,,"4,970,878","5,022,189","-51,311","1,069,348","981,602","87,745","2,125,883","2,131,742","-5,859","30,575"
平成29年,,2017C.Y.,,"625,131","512,065","113,067","3,262,255","3,268,682","-6,427","517,065","509,107","7,958","114,598",,平成29年,,2017C.Y.,,"5,193,693","5,175,313","18,380","933,928","825,237","108,691","2,117,094","2,073,054","44,039","171,110"
平成30年,,2018C.Y.,,"694,706","593,577","101,129","3,735,126","3,631,353","103,773","650,229","646,777","3,452","208,354",,平成30年,,2018C.Y.,,"5,845,326","5,890,700","-45,374","965,054","892,699","72,355","2,363,988","2,283,143","80,845","107,826"
令和元(平成31)年,,2019C.Y.,,"622,598","593,560","29,037","5,394,857","5,209,537","185,320","324,248","336,971","-12,723","201,634",,令和元(平成31)年,,2019C.Y.,,"4,824,549","4,790,370","34,178","1,174,432","1,051,648","122,784","2,405,657","2,454,652","-48,995","107,968"
令和2年,,2020C.Y.,,"868,552","911,108","-42,556","5,049,808","4,845,056","204,753","255,048","244,782","10,266","172,462",,令和2年,,2020C.Y.,,"5,736,546","5,823,908","-87,362","1,155,547","1,151,985","3,562","3,002,307","2,789,961","212,346","128,546"
令和3年,,2021C.Y.,,"893,729","915,287","-21,558","4,987,066","4,968,256","18,810","288,766","292,104","-3,338","-6,086",,令和3年,,2021C.Y.,,"6,304,689","6,283,963","20,727","1,431,626","1,251,629","179,996","3,139,880","3,127,514","12,366","213,089"
令和4年,,2022C.Y.,,"965,772","939,088","26,684","4,515,085","4,749,160","-234,075","390,287","410,627","-20,341","-227,732",,令和4年,,2022C.Y.,,"6,890,634","6,897,147","-6,513","1,813,213","1,923,262","-110,049","3,213,482","3,132,658","80,824","-35,739"
令和5年,,2023C.Y.,,"912,315","933,952","-21,637","4,552,990","4,367,096","185,894","494,264","484,405","9,859","174,117",,令和5年,,2023C.Y.,,"7,790,490","7,755,315","35,175","2,395,819","2,446,475","-50,656","3,614,261","3,699,305","-85,044","-100,525"
令和6年,,2024C.Y.,,"1,316,095","1,350,673","-34,578","5,298,822","5,245,388","53,435","425,381","424,715",666,"19,523",,令和6年,,2024C.Y.,,"10,055,406","10,032,899","22,507","2,814,239","2,789,482","24,757","2,961,794","3,129,079","-167,285","-120,021"
令和7年,,2025C.Y.,,"1,542,194","1,539,847","2,347","4,999,522","4,861,930","137,592","447,701","434,172","13,529","153,468",,令和7年,,2025C.Y.,,"11,149,074","11,064,641","84,433","2,938,713","2,725,457","213,256","2,488,606","2,475,905","12,701","310,390"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（月次）,,,,,,,,,,,,,,,（月次）,,,,,,,,,,,,,
(Monthly figures),,,,,,,,,,,,,,,(Monthly figures),,,,,,,,,,,,,
平成8年,1月,1996,Jan,          --,          --,"-1,668",          --,          --,643,          --,          --,"1,237",212,,平成8年,1月,1996,Jan,          --,          --,"9,763",          --,          --,"-14,674",          --,          --,"1,031","-3,880"
,2月,,Feb,          --,          --,"-1,570",          --,          --,"7,431",          --,          --,143,"6,004",,,2月,,Feb,          --,          --,"6,561",          --,          --,"-5,368",          --,          --,"-8,350","-7,157"
,3月,,Mar,          --,          --,"-1,275",          --,          --,"7,153",          --,          --,-790,"5,088",,,3月,,Mar,          --,          --,"9,966",          --,          --,"6,646",          --,          --,"-13,352","3,260"
,4月,,Apr,          --,          --,"6,172",          --,          --,"-2,587",          --,          --,281,"3,866",,,4月,,Apr,          --,          --,"9,587",          --,          --,"8,306",          --,          --,"10,616","28,509"
,5月,,May,          --,          --,"1,314",          --,          --,"15,922",          --,          --,"2,216","19,452",,,5月,,May,          --,          --,"5,250",          --,          --,"4,813",          --,          --,"5,195","15,258"
,6月,,Jun,          --,          --,"1,747",          --,          --,"1,893",          --,          --,"2,602","6,243",,,6月,,Jun,          --,          --,"6,012",          --,          --,"5,601",          --,          --,"5,749","17,362"
,7月,,Jul,          --,          --,-365,          --,          --,"4,918",          --,          --,"1,448","6,001",,,7月,,Jul,          --,          --,6,          --,          --,"2,703",          --,          --,"1,942","4,652"
,8月,,Aug,          --,          --,303,          --,          --,"13,493",          --,          --,"1,213","15,010",,,8月,,Aug,          --,          --,"-1,556",          --,          --,"6,815",          --,          --,-298,"4,962"
,9月,,Sep,          --,          --,796,          --,          --,"10,774",          --,          --,"2,610","14,179",,,9月,,Sep,          --,          --,"2,844",          --,          --,"-10,899",          --,          --,"-3,944","-12,000"
,10月,,Oct,          --,          --,"1,035",          --,          --,"7,812",          --,          --,288,"9,136",,,10月,,Oct,          --,          --,459,          --,          --,"-2,329",          --,          --,"11,794","9,924"
,11月,,Nov,          --,          --,680,          --,          --,"11,858",          --,          --,"1,838","14,376",,,11月,,Nov,          --,          --,306,          --,          --,"4,706",          --,          --,"-5,369",-357
,12月,,Dec,          --,          --,"1,876",          --,          --,"8,669",          --,          --,-59,"10,487",,,12月,,Dec,          --,          --,"3,784",          --,          --,"12,989",          --,          --,"-4,335","12,438"
平成9年,1月,1997,Jan,          --,          --,"-1,427",          --,          --,"2,302",          --,          --,112,986,,平成9年,1月,1997,Jan,          --,          --,"-1,565",          --,          --,"-3,037",          --,          --,"-4,124","-8,725"
,2月,,Feb,          --,          --,"-1,016",          --,          --,"-5,367",          --,          --,"1,717","-4,666",,,2月,,Feb,          --,          --,"3,712",          --,          --,"-2,307",          --,          --,"-11,274","-9,870"
,3月,,Mar,          --,          --,-873,          --,          --,"14,310",          --,          --,"2,547","15,984",,,3月,,Mar,          --,          --,"4,438",          --,          --,"-6,882",          --,          --,"-6,156","-8,601"
,4月,,Apr,          --,          --,"3,785",          --,          --,"10,624",          --,          --,"3,154","17,563",,,4月,,Apr,          --,          --,"2,744",          --,          --,"-5,010",          --,          --,"30,154","27,888"
,5月,,May,          --,          --,"6,108",          --,          --,"20,293",          --,          --,576,"26,976",,,5月,,May,          --,          --,"9,881",          --,          --,"13,727",          --,          --,"3,688","27,296"
,6月,,Jun,          --,          --,"5,818",          --,          --,"12,489",          --,          --,-741,"17,567",,,6月,,Jun,          --,          --,"11,330",          --,          --,"-5,550",          --,          --,"5,387","11,167"
,7月,,Jul,          --,          --,"1,749",          --,          --,"8,425",          --,          --,-317,"9,857",,,7月,,Jul,          --,          --,"8,324",          --,          --,"13,610",          --,          --,971,"22,905"
,8月,,Aug,          --,          --,"1,609",          --,          --,"1,253",          --,          --,"1,830","4,693",,,8月,,Aug,          --,          --,"2,161",          --,          --,"-7,210",          --,          --,51,"-4,997"
,9月,,Sep,          --,          --,"-1,580",          --,          --,"-3,536",          --,          --,"4,351",-764,,,9月,,Sep,          --,          --,"-2,520",          --,          --,"18,548",          --,          --,"-21,071","-5,043"
,10月,,Oct,          --,          --,983,          --,          --,"12,868",          --,          --,"-2,894","10,957",,,10月,,Oct,          --,          --,-917,          --,          --,"-10,501",          --,          --,"11,884",466
,11月,,Nov,          --,          --,694,          --,          --,"-9,341",          --,          --,"2,497","-6,151",,,11月,,Nov,          --,          --,"-8,668",          --,          --,"16,241",          --,          --,"12,832","20,405"
,12月,,Dec,          --,          --,597,          --,          --,"-36,051",          --,          --,"-2,812","-38,266",,,12月,,Dec,          --,          --,"3,048",          --,          --,"15,842",          --,          --,"4,357","23,247"
平成10年,1月,1998,Jan,          --,          --,"-3,600",          --,          --,"-14,587",          --,          --,-990,"-19,177",,平成10年,1月,1998,Jan,          --,          --,"2,802",          --,          --,"-15,540",          --,          --,"-11,455","-24,193"
,2月,,Feb,          --,          --,"-1,906",          --,          --,"5,591",          --,          --,"6,172","9,858",,,2月,,Feb,          --,          --,"9,185",          --,          --,"-19,726",          --,          --,"-3,072","-13,613"
,3月,,Mar,          --,          --,"-3,638",          --,          --,"-2,953",          --,          --,"9,760","3,168",,,3月,,Mar,          --,          --,"3,345",          --,          --,"7,782",          --,          --,"-15,317","-4,190"
,4月,,Apr,          --,          --,"4,821",          --,          --,"8,251",          --,          --,"-4,281","8,791",,,4月,,Apr,          --,          --,"-2,744",          --,          --,"-23,111",          --,          --,"17,117","-8,738"
,5月,,May,          --,          --,"2,371",          --,          --,"8,808",          --,          --,"-2,449","8,730",,,5月,,May,          --,          --,"-4,097",          --,          --,"1,073",          --,          --,"2,477",-547
,6月,,Jun,          --,          --,"3,373",          --,          --,"10,549",          --,          --,"-2,011","11,911",,,6月,,Jun,          --,          --,"-5,825",          --,          --,"17,714",          --,          --,"9,050","20,939"
,7月,,Jul,          --,          --,"2,458",          --,          --,"5,443",          --,          --,-186,"7,715",,,7月,,Jul,          --,          --,"6,429",          --,          --,"-18,797",          --,          --,"7,481","-4,887"
,8月,,Aug,          --,          --,"2,867",          --,          --,"12,119",          --,          --,"2,780","17,766",,,8月,,Aug,          --,          --,"-3,001",          --,          --,"6,209",          --,          --,"7,207","10,415"
,9月,,Sep,          --,          --,"2,186",          --,          --,"24,471",          --,          --,"17,208","43,864",,,9月,,Sep,          --,          --,"-7,117",          --,          --,"11,696",          --,          --,"12,966","17,544"
,10月,,Oct,          --,          --,"2,755",          --,          --,"1,924",          --,          --,"2,065","6,743",,,10月,,Oct,          --,          --,"11,842",          --,          --,"-9,363",          --,          --,"26,515","28,994"
,11月,,Nov,          --,          --,"2,563",          --,          --,"11,189",          --,          --,"-1,595","12,156",,,11月,,Nov,          --,          --,"4,114",          --,          --,"7,669",          --,          --,"17,730","29,514"
,12月,,Dec,          --,          --,"4,258",          --,          --,"9,792",          --,          --,"1,591","15,641",,,12月,,Dec,          --,          --,"3,345",          --,          --,"8,786",          --,          --,"5,806","17,937"
平成11年,1月,1999,Jan,          --,          --,-876,          --,          --,"-6,514",          --,          --,-546,"-7,936",,平成11年,1月,1999,Jan,          --,          --,-934,          --,          --,"-9,366",          --,          --,"1,274","-9,025"
,2月,,Feb,          --,          --,"1,836",          --,          --,"-4,113",          --,          --,"10,962","8,685",,,2月,,Feb,          --,          --,"7,425",          --,          --,"-3,053",          --,          --,"-3,749",622
,3月,,Mar,          --,          --,"2,273",          --,          --,"-2,126",          --,          --,"19,565","19,712",,,3月,,Mar,          --,          --,"15,239",          --,          --,"-1,857",          --,          --,"-3,462","9,919"
,4月,,Apr,          --,          --,"3,364",          --,          --,"12,634",          --,          --,"-4,765","11,234",,,4月,,Apr,          --,          --,"14,463",          --,          --,"8,317",          --,          --,"11,707","34,487"
,5月,,May,          --,          --,"2,883",          --,          --,"4,355",          --,          --,"-1,516","5,722",,,5月,,May,          --,          --,"6,950",          --,          --,"8,093",          --,          --,"-4,025","11,019"
,6月,,Jun,          --,          --,"3,665",          --,          --,"19,543",          --,          --,"-1,789","21,418",,,6月,,Jun,          --,          --,"11,555",          --,          --,"-9,300",          --,          --,"5,156","7,411"
,7月,,Jul,          --,          --,"1,532",          --,          --,"6,460",          --,          --,"2,586","10,578",,,7月,,Jul,          --,          --,"11,628",          --,          --,"10,987",          --,          --,"12,905","35,520"
,8月,,Aug,          --,          --,"4,931",          --,          --,"13,921",          --,          --,"3,879","22,731",,,8月,,Aug,          --,          --,"9,633",          --,          --,726,          --,          --,"7,336","17,695"
,9月,,Sep,          --,          --,"4,676",          --,          --,"26,514",          --,          --,"12,821","44,011",,,9月,,Sep,          --,          --,"3,594",          --,          --,"9,429",          --,          --,"-5,384","7,639"
,10月,,Oct,          --,          --,"5,231",          --,          --,"-2,348",          --,          --,"2,513","5,396",,,10月,,Oct,          --,          --,"14,555",          --,          --,"6,191",          --,          --,"2,739","23,485"
,11月,,Nov,          --,          --,"4,196",          --,          --,"5,890",          --,          --,-464,"9,623",,,11月,,Nov,          --,          --,"15,109",          --,          --,"3,445",          --,          --,"-12,668","5,886"
,12月,,Dec,          --,          --,"2,728",          --,          --,"21,748",          --,          --,-746,"23,730",,,12月,,Dec,          --,          --,"8,077",          --,          --,"-3,514",          --,          --,"-4,340",224
平成12年,1月,2000,Jan,          --,          --,"-2,386",          --,          --,"-25,962",          --,          --,"-3,913","-32,261",,平成12年,1月,2000,Jan,          --,          --,"2,121",          --,          --,"1,465",          --,          --,"7,470","11,056"
,2月,,Feb,          --,          --,757,          --,          --,"8,942",          --,          --,"5,177","14,876",,,2月,,Feb,          --,          --,"8,175",          --,          --,"4,070",          --,          --,"2,643","14,888"
