財務省　国際収支状況　（対外・対内直接投資）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ⅴ．対外・対内直接投資（地域別内訳）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6d-3　対内直接投資の地域別内訳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位　億円）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan's Balance of Payments(Direct Investment Assets/Liabilities),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ⅴ.Direct Investment Assets/Liabilities, Country Breakdown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6d-3  Direct Investment Liabilities, Country Breakdown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(100 million Yen),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（備考）,① (P)は速報値を示す。また、合計は四捨五入により合わないことがある。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,② 令和8年4月8日付で、令和5年1月から令和7年9月までの計数について一部改訂を行っている。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 (NOTE),① (P) shows preliminary figures. Totals may not add due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"② Certain figures from January 2023 up to September 2025 are revised as of April 8, 2026.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
対内直接投資,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Direct Investment Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,合計,,,アジア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,北米,,,,,,,,,中南米,,,,,,,,,,,,大洋州,,,,,,,,,欧州,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中東,,,,,,,,,,,,アフリカ,,,,,,国際機関,,,非分類,,,ＯＥＣＤ諸国,,,ＡＳＥＡＮ,,,ＥＵ,,,東欧・ロシア等,,
,,,,Total,,,Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North America,,,,,,,,,Central and South America,,,,,,,,,,,,Oceania,,,,,,,,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle East ,,,,,,,,,,,,Africa ,,,,,,Int'l Organization,,,Unallocated,,,OECD countries,,,ASEAN,,,EU,,,"Eastern Europe, Russia, etc.",,
,,,,,,,,,,中華人民共和国,,,香港,,,台湾,,,大韓民国,,,シンガポール,,,タイ,,,インドネシア,,,マレーシア,,,フィリピン,,,ベトナム,,,インド,,,,,,アメリカ合衆国,,,カナダ,,,,,,メキシコ,,,ブラジル,,,ケイマン諸島,,,,,,オーストラリア,,,ニュージーランド,,,,,,ドイツ,,,英国,,,フランス,,,オランダ,,,イタリア,,,ベルギー,,,ルクセンブルク,,,スイス,,,スウェーデン,,,スペイン,,,ロシア,,,,,,サウジアラビア,,,アラブ首長国連邦,,,イラン,,,,,,南アフリカ共和国,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,P.R.China,,,Hong Kong,,,Taiwan,,,R.Korea,,,Singapore,,,Thailand,,,Indonesia,,,Malaysia,,,Philippines,,,Viet Nam,,,India,,,,,,U.S.A.,,,Canada,,,,,,Mexico,,,Brazil,,,Cayman Islands,,,,,,Australia,,,New Zealand,,,,,,Germany,,,U.K.,,,France,,,Netherlands,,,Italy,,,Belgium,,,Luxembourg,,,Switzerland,,,Sweden,,,Spain,,,Russia,,,,,,Saudi Arabia,,,U.A.E.,,,Iran,,,,,,R.South Africa,,,,,,,,,,,,,,,,,,,,
,,,,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット
