Date,GPRD,GPRD_ACT,GPRD_THREAT,GPRD_MA30,GPRD_MA7
2018-01-01,96.5763168334961,57.76742935180664,112.42872619628906,86.27232360839844,100.22586822509766
2018-01-02,188.69056701660156,94.05487823486328,278.9371032714844,91.40699768066406,113.18848419189452
2018-01-03,138.02365112304688,147.4272918701172,172.156494140625,93.86074829101562,116.39833068847656
2018-01-04,146.35792541503906,77.81729125976562,194.721923828125,94.29808807373048,118.95222473144533
2018-01-05,66.51741790771484,88.41690063476562,58.998741149902344,92.88129425048828,111.08869171142578
2018-01-06,78.94584655761719,50.36981964111328,94.53015899658205,93.3590087890625,108.9677963256836
2018-01-07,30.460391998291016,45.549949645996094,12.664384841918944,91.40464782714844,106.5102996826172
2018-01-08,82.1722183227539,92.15919494628906,68.32877349853516,92.29692840576172,104.45257568359376
2018-01-09,77.14198303222656,63.33314514160156,90.55902862548828,91.65704345703124,88.51705932617188
2018-01-10,71.72000122070312,44.68702697753906,82.00146484375,89.29119873046875,79.04511260986328
2018-01-11,95.51309204101562,60.59396743774414,108.30290222167967,89.21902465820312,71.78156280517578
2018-01-12,167.51290893554688,116.89810180664062,222.86756896972656,92.12744140625,86.20948791503906
2018-01-13,83.7867202758789,29.83172035217285,124.41300201416016,91.45088958740234,86.90104675292969
2018-01-14,63.24711990356445,0.0,105.18392181396484,90.52639770507812,91.5848617553711
2018-01-15,58.96156311035156,53.436431884765625,62.39976119995117,91.24761962890624,88.26905822753906
2018-01-16,58.74949645996094,45.05281448364258,60.12559509277344,91.42976379394533,85.64155578613281
2018-01-17,128.2569580078125,79.36273193359375,154.45814514160156,93.45860290527344,93.71826171875
2018-01-18,82.81419372558594,137.5988006591797,91.8167953491211,93.5978546142578,91.90413665771484
2018-01-19,102.11367797851562,105.87133026123048,88.30714416503906,93.89998626708984,82.56138610839844
2018-01-20,68.94937133789062,29.885713577270508,99.7105484008789,93.060546875,80.4417724609375
2018-01-21,71.32322692871094,79.00409698486328,52.7177734375,93.10519409179688,81.59549713134766
2018-01-22,129.9990234375,153.59866333007812,96.08734893798828,95.19933319091795,91.74370574951172
