,,,,Total（a+b+c+ｄ),,,中央銀行,,,預金取扱機関,,,,,,,,,一般政府,,,その他部門,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Central bank (a),,,"Deposit-taking corporations,",,,銀行等（銀行勘定）,,,信託銀行（銀行勘定）,,,General government (c),,,Other sectors （d),,,その他金融機関,,,,,,,,,,,,,,,,,,,,,その他,,
,,,,,,,,,,except the central bank(b),,,Banks（banking accounts),,,Trust banks(banking accounts）,,,,,,,,,Other financial corporations,,,銀行等（信託勘定）,,,信託銀行（信託勘定）,,,金融商品取引業者,,,生命保険会社,,,損害保険会社,,,投資信託委託会社等,,,Others,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Banks（trust accounts）,,,Trust banks（trust accounts）,,,Financial instruments firms,,,Life insurance companies,,,Non-life insurance companies,,,Investment trust management companies,,,,,
,,,,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット
,,,,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net
平成28年,,2016C.Y.,,"230,955","241,469","-10,514",          --,          --,          --,"14,603","24,300","-9,697","14,137","24,206","-10,069",466,94,372,          --,16,-16,"216,351","217,152",-801,"216,335","207,597","8,737",          --,          --,          --,"17,961","15,342","2,619","131,824","125,128","6,696","58,431","58,448",-17,13,25,-12,"8,105","8,654",-549,16,"9,555","-9,538"
平成29年,,2017C.Y.,,"517,065","509,107","7,958",          --,          --,          --,"16,098","11,930","4,168","16,048","11,893","4,155",50,37,13,          --,13,-13,"500,967","497,164","3,802","500,694","485,189","15,505",          --,          --,          --,"21,113","19,921","1,192","391,312","377,984","13,328","81,519","81,002",517,130,143,-13,"6,619","6,139",480,273,"11,975","-11,702"
平成30年,,2018C.Y.,,"650,229","646,777","3,452",          --,          --,          --,"18,911","21,537","-2,626","18,802","21,393","-2,591",110,145,-35,          --,11,-11,"631,318","625,228","6,090","630,840","606,379","24,461",          --,          --,          --,"28,585","23,163","5,422","492,012","472,021","19,992","102,083","101,922",160,          --,          --,          --,"8,160","9,273","-1,112",479,"18,850","-18,371"
令和元(平成31)年,,2019C.Y.,,"324,248","336,971","-12,723",          --,          --,          --,"13,280","20,840","-7,561","13,280","20,749","-7,469",          --,91,-91,          --,16,-16,"310,968","316,115","-5,146","310,574","296,266","14,308",324,          --,324,"24,295","25,357","-1,061","205,874","190,738","15,136","73,273","73,458",-185,2,2,0,"6,805","6,711",94,395,"19,849","-19,454"
令和2年,,2020C.Y.,,"255,048","244,782","10,266",          --,          --,          --,"10,561","12,325","-1,764","10,561","12,324","-1,763",          --,1,-1,          --,11,-11,"244,487","232,446","12,041","244,298","217,144","27,153",108,324,-216,"31,771","27,980","3,790","172,355","151,224","21,131","31,851","30,585","1,266",          --,6,-6,"8,213","7,025","1,188",189,"15,302","-15,113"
令和3年,,2021C.Y.,,"288,766","292,104","-3,338",          --,          --,          --,"13,548","10,155","3,393","13,548","10,145","3,404",          --,11,-11,          --,          --,          --,"275,218","281,949","-6,731","275,076","257,767","17,309",110,110,0,"21,316","23,764","-2,447","224,846","205,154","19,692","20,892","20,863",29,6,          --,6,"7,907","7,877",29,142,"24,182","-24,040"
令和4年,,2022C.Y.,,"390,287","410,627","-20,341",          --,          --,          --,"10,019","24,162","-14,143","10,019","24,162","-14,143",          --,          --,          --,          --,4,-4,"380,267","386,461","-6,194","380,232","371,497","8,735",          --,134,-134,"27,086","30,024","-2,938","277,373","265,964","11,409","67,713","67,540",173,          --,490,-490,"8,060","7,344",715,35,"14,964","-14,929"
令和5年,,2023C.Y.,,"494,264","484,405","9,859",          --,          --,          --,"27,830","22,799","5,031","27,694","22,664","5,031",135,135,0,          --,          --,          --,"466,434","461,606","4,829","466,240","451,657","14,583",          --,          --,          --,"30,036","32,381","-2,345","302,865","288,712","14,153","121,420","119,484","1,937",          --,359,-359,"11,920","10,721","1,198",194,"9,949","-9,755"
令和6年,,2024C.Y.,,"425,381","424,715",666,          --,          --,          --,"34,128","31,920","2,207","34,073","31,920","2,152",55,          --,55,          --,          --,          --,"391,253","392,795","-1,541","390,937","381,648","9,289",          --,          --,          --,"17,820","17,648",172,"252,653","232,261","20,392","101,081","114,442","-13,361",4,103,-99,"19,378","17,193","2,185",317,"11,147","-10,830"
令和7年,,2025C.Y.,,"447,701","434,172","13,529",          --,          --,          --,"55,371","46,238","9,133","55,371","46,183","9,188",          --,55,-55,5,          --,5,"392,325","387,934","4,391","392,010","371,441","20,569",          --,          --,          --,"14,511","15,748","-1,236","224,699","208,479","16,220","124,778","123,103","1,675",          --,4,-4,"28,022","24,108","3,914",315,"16,493","-16,178"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（月次）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Monthly figures),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平成26年,1月,2014,Jan,"12,457","12,624",-166,          --,          --,          --,"1,101","1,170",-68,"1,092","1,170",-78,10,          --,10,          --,          --,          --,"11,356","11,454",-98,"11,346","10,882",464,          --,          --,          --,"1,587","1,921",-334,"6,925","7,070",-144,"2,157","1,264",893,          --,          --,          --,678,628,50,9,572,-562
,2月,,Feb,"13,424","12,302","1,122",          --,          --,          --,"1,845","1,713",132,"1,845","1,711",134,          --,2,-2,          --,          --,          --,"11,579","10,589",990,"11,569","10,019","1,551",          --,          --,          --,"2,290","2,117",174,"7,167","5,383","1,785","1,783","2,203",-419,          --,          --,          --,328,317,11,10,571,-561
,3月,,Mar,"16,466","15,054","1,412",          --,          --,          --,"2,072","1,535",537,"2,072","1,529",543,          --,6,-6,          --,          --,          --,"14,394","13,519",875,"14,376","12,424","1,951",          --,          --,          --,"1,171","1,562",-391,"10,383","8,138","2,245","2,235","2,131",105,14,          --,14,573,594,-21,18,"1,095","-1,077"
