財務省　国際収支状況,,,,,,,,,,,
Ⅰ.季節調整済　国際収支の推移,,,,,,,,,,,
   （データ期間：平成8年～）,,,,,,,,,,,
6s-a-2 月次,,,,,,,,,,,
   (単位　億円）,,,,,,,,,,,
,,,,,,,,,,,
Japan's Balance of Payments,,,,,,,,,,,
Historical Data,,,,,,,,,,,
Ⅰ.Summary of balance of payments　,,,,,,,,,,,
   Current account (Seasonally-adjusted),,,,,,,,,,,
   (January 1996 - present),,,,,,,,,,,
6s-a-2 Monthly figures,,,,,,,,,,,
   (100 million Yen),,,,,,,,,,,
,,,,,,,,,,,
（備考） ,① （P）は速報値を示す。また、合計は四捨五入により合わないことがある。,,,,,,,,,,
,② 平成25年以前の計数は、国際収支マニュアル第5版準拠統計を第6版の基準により組み替えたもの。,,,,,,,,,,
,③ 年中の国際収支（第2次速報値）公表の翌月に詳細設定の見直し及び季節調整替えを実施し、1996年１月のデータから遡及改訂を行う。,,,,,,,,,,
,④令和8年4月8日付で、令和5年1月から令和7年9月までの計数について一部改訂を行っている。,,,,,,,,,,
(NOTE) ,① （P）shows preliminary figures.Totals may not add due to rounding.,,,,,,,,,,
,"② Until 2013, figures based on BPM5 are rearranged in accordance with BPM6.",,,,,,,,,,
,"③ In the following month of the release of annual BOP (second preliminary) data, data are seasonally adjusted and historical revisions are made from January 1996. ",,,,,,,,,,
,"④ Certain figures from January 2023 up to September 2025 are revised as of April 8, 2026.",,,,,,,,,,
,,,,,,,,,,,
,,,,経常収支,,,,,,,
,,,,Current account,,,,,,,
,,,,,貿易・サービス収支,,,,,第一次所得収支,第二次所得収支
,,,,,Goods & services,,,,,Primary income,Secondary income
,,,,,,貿易収支,,,サービス収支,,
,9月,,Sep,"11,525","7,115","12,245","38,486","26,242","-5,129","5,396",-987
,10月,,Oct,"11,739","6,809","11,688","37,990","26,303","-4,879","5,824",-893
,11月,,Nov,"10,163","5,233","10,286","38,488","28,202","-5,053","5,790",-860
,12月,,Dec,"11,075","5,833","11,130","38,539","27,408","-5,297","6,009",-767
平成12年,1月,2000,Jan,"12,467","7,823","11,757","38,736","26,980","-3,933","5,670","-1,026"
,2月,,Feb,"11,860","7,285","11,650","39,136","27,485","-4,365","5,494",-919
,3月,,Mar,"10,449","5,747","10,653","39,738","29,085","-4,906","5,624",-923
,4月,,Apr,"12,495","7,018","11,471","40,547","29,076","-4,453","6,643","-1,167"
,5月,,May,"11,794","5,916","10,576","39,762","29,186","-4,660","6,659",-781
,6月,,Jun,"14,108","7,873","12,112","41,399","29,286","-4,239","6,616",-381
,7月,,Jul,"12,369","6,764","11,026","40,698","29,672","-4,261","6,383",-778
,8月,,Aug,"13,412","6,397","10,543","41,467","30,924","-4,146","7,787",-772
,9月,,Sep,"11,225","5,764","9,862","41,077","31,214","-4,098","6,490","-1,029"
,10月,,Oct,"10,800","5,105","9,439","41,579","32,140","-4,334","6,476",-781
,11月,,Nov,"11,256","4,995","9,703","41,600","31,897","-4,708","7,150",-890
,12月,,Dec,"8,444","3,132","7,495","41,395","33,900","-4,363","6,371","-1,059"
平成13年,1月,2001,Jan,"8,287","1,890","7,016","39,886","32,870","-5,126","7,200",-803
,2月,,Feb,"10,311","4,121","8,944","40,976","32,032","-4,823","6,754",-563
,3月,,Mar,"9,984","3,421","7,970","40,789","32,819","-4,549","7,145",-582
,4月,,Apr,"9,386","3,637","9,277","40,497","31,220","-5,641","6,600",-851
,5月,,May,"5,971",529,"5,772","38,056","32,284","-5,243","6,473","-1,032"
,6月,,Jun,"7,018","1,339","6,513","37,577","31,064","-5,174","6,779","-1,100"
,7月,,Jul,"7,435","1,956","6,627","37,820","31,193","-4,670","6,268",-789
,8月,,Aug,"8,194","2,160","7,420","37,444","30,023","-5,261","7,053","-1,018"
,9月,,Sep,"9,435","3,623","8,061","37,399","29,338","-4,438","6,509",-697
,10月,,Oct,"9,487","3,346","7,098","37,050","29,951","-3,753","6,985",-844
,11月,,Nov,"11,120","4,932","8,597","36,999","28,402","-3,665","6,927",-738
,12月,,Dec,"9,198","3,276","7,152","35,834","28,682","-3,876","6,785",-864
平成14年,1月,2002,Jan,"11,202","4,775","9,092","38,381","29,289","-4,317","6,623",-195
,2月,,Feb,"9,256","3,020","7,524","39,224","31,700","-4,503","7,103",-867
,3月,,Mar,"15,463","6,565","10,815","40,293","29,477","-4,251","6,872","2,027"
,4月,,Apr,"10,650","6,105","10,586","40,330","29,744","-4,480","5,184",-640
,5月,,May,"10,907","5,542","10,841","41,061","30,220","-5,299","6,486","-1,120"
,6月,,Jun,"13,608","6,771","11,255","41,220","29,966","-4,484","7,507",-670
,7月,,Jul,"11,153","5,513","10,125","40,188","30,063","-4,612","6,780","-1,139"
,8月,,Aug,"10,626","5,413","9,480","39,458","29,978","-4,067","6,127",-914
,9月,,Sep,"10,302","4,837","10,172","40,867","30,695","-5,335","6,118",-653
,10月,,Oct,"11,487","5,887","10,692","41,684","30,992","-4,805","6,464",-864
,11月,,Nov,"11,358","6,150","10,915","43,694","32,780","-4,764","6,070",-862
,12月,,Dec,"10,029","4,286","9,817","42,016","32,199","-5,531","6,633",-890
平成15年,1月,2003,Jan,"10,174","4,326","8,967","41,446","32,479","-4,641","6,801",-953
,2月,,Feb,"10,054","4,406","8,767","42,215","33,448","-4,361","6,710","-1,061"
,3月,,Mar,"11,488","5,597","9,102","41,531","32,428","-3,506","6,394",-502
,4月,,Apr,"13,063","6,797","9,434","42,100","32,666","-2,638","6,982",-716
,5月,,May,"14,576","8,053","10,234","42,094","31,860","-2,181","7,161",-638
,6月,,Jun,"13,101","6,990","9,600","41,868","32,267","-2,611","6,736",-624
,7月,,Jul,"14,678","7,570","10,172","42,564","32,392","-2,602","8,100",-992
,8月,,Aug,"14,658","7,404","10,809","42,860","32,050","-3,405","7,739",-486
,9月,,Sep,"14,762","7,496","10,909","44,000","33,091","-3,412","7,790",-523
,10月,,Oct,"15,283","8,241","12,206","43,594","31,388","-3,965","7,630",-588
,11月,,Nov,"15,904","8,158","11,528","43,978","32,450","-3,369","8,403",-657
,12月,,Dec,"13,287","8,232","12,550","45,227","32,677","-4,318","6,310","-1,254"
平成16年,1月,2004,Jan,"17,488","8,679","12,205","45,555","33,349","-3,527","9,155",-346
,2月,,Feb,"17,104","9,647","13,179","45,884","32,705","-3,533","7,931",-474
,3月,,Mar,"14,291","8,426","12,013","45,884","33,871","-3,587","6,555",-689
,4月,,Apr,"17,581","8,988","12,975","46,949","33,974","-3,987","9,322",-729
,5月,,May,"18,491","10,283","13,741","48,665","34,923","-3,458","8,781",-574
,6月,,Jun,"15,239","7,647","11,522","48,733","37,211","-3,875","8,299",-706
,7月,,Jul,"16,221","8,640","12,397","48,580","36,182","-3,758","8,472",-890
,8月,,Aug,"17,236","9,139","11,936","48,648","36,712","-2,797","8,824",-728
,9月,,Sep,"15,845","7,893","11,474","48,904","37,429","-3,581","8,822",-870
,10月,,Oct,"15,275","7,428","11,211","49,524","38,313","-3,783","8,748",-901
