,,,,Total（a+b+c+ｄ),,,中央銀行,,,預金取扱機関,,,,,,,,,一般政府,,,その他部門,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Central bank (a),,,"Deposit-taking corporations,",,,銀行等（銀行勘定）,,,信託銀行（銀行勘定）,,,General government (c),,,Other sectors （d),,,その他金融機関,,,,,,,,,,,,,,,,,,,,,その他,,
,,,,,,,,,,except the central bank(b),,,Banks（banking accounts),,,Trust banks(banking accounts）,,,,,,,,,Other financial corporations,,,銀行等（信託勘定）,,,信託銀行（信託勘定）,,,金融商品取引業者,,,生命保険会社,,,損害保険会社,,,投資信託委託会社等,,,Others,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Banks（trust accounts）,,,Trust banks（trust accounts）,,,Financial instruments firms,,,Life insurance companies,,,Non-life insurance companies,,,Investment trust management companies,,,,,
,,,,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット
,,,,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net
平成27年,,2015C.Y.,,"664,324","462,709","201,614",          --,          --,          --,"46,861","40,759","6,102","40,987","35,021","5,966","5,873","5,738",136,45,34,11,"617,418","421,917","195,501","569,636","364,892","204,745",          --,          --,          --,"187,562","122,956","64,606","40,256","32,053","8,203","51,196","49,340","1,855","2,472","1,000","1,472","288,150","159,542","128,608","47,782","57,025","-9,243"
平成28年,,2016C.Y.,,"555,873","465,190","90,683",          --,          --,          --,"49,463","36,895","12,568","43,961","32,858","11,104","5,501","4,037","1,464",32,33,-1,"506,378","428,262","78,116","471,169","395,029","76,140",          --,          --,          --,"145,083","128,836","16,246","35,668","28,474","7,193","70,011","63,532","6,479","2,858","2,827",30,"217,550","171,359","46,191","35,209","33,233","1,976"
平成29年,,2017C.Y.,,"625,131","512,065","113,067",          --,          --,          --,"69,506","44,452","25,053","58,231","35,148","23,083","11,275","9,305","1,970",36,12,24,"555,590","467,600","87,990","516,085","423,384","92,701",          --,          --,          --,"138,485","136,184","2,301","48,778","36,513","12,265","62,905","45,383","17,522","4,525","1,560","2,965","261,392","203,744","57,648","39,505","44,217","-4,711"
平成30年,,2018C.Y.,,"694,706","593,577","101,129",          --,          --,          --,"82,010","61,305","20,705","57,269","37,375","19,894","24,741","23,930",811,411,14,397,"612,285","532,258","80,027","569,994","485,049","84,945",          --,          --,          --,"168,450","143,788","24,662","58,309","44,360","13,949","78,251","57,256","20,995","4,235","2,277","1,958","260,749","237,368","23,381","42,291","47,209","-4,918"
令和元(平成31)年,,2019C.Y.,,"622,598","593,560","29,037",          --,          --,          --,"63,639","81,886","-18,247","49,379","70,392","-21,013","14,260","11,494","2,767",244,108,136,"558,715","511,567","47,148","515,143","461,331","53,812",          --,          --,          --,"142,006","130,088","11,918","46,842","40,800","6,042","98,122","81,394","16,728","3,719","3,849",-130,"224,454","205,200","19,254","43,571","50,236","-6,665"
令和2年,,2020C.Y.,,"868,552","911,108","-42,556",          --,          --,          --,"69,902","123,077","-53,175","55,040","107,345","-52,305","14,862","15,733",-870,229,21,207,"798,421","788,009","10,412","675,472","659,218","16,253",25,          --,25,"174,386","242,295","-67,909","90,823","73,678","17,145","138,906","115,042","23,864","3,836","2,073","1,763","267,496","226,130","41,365","122,950","128,791","-5,841"
令和3年,,2021C.Y.,,"893,729","915,287","-21,558",          --,          --,          --,"84,731","72,133","12,597","66,979","56,800","10,179","17,752","15,334","2,418",94,158,-64,"808,904","842,995","-34,091","718,691","738,888","-20,198",          --,          --,          --,"180,549","284,834","-104,285","112,918","95,526","17,392","94,969","75,413","19,556","3,586","3,060",526,"326,669","280,054","46,614","90,214","104,107","-13,894"
令和4年,,2022C.Y.,,"965,772","939,088","26,684",          --,          --,          --,"118,358","113,813","4,545","90,052","82,956","7,097","28,306","30,857","-2,551",85,16,68,"847,329","825,259","22,070","743,905","691,169","52,736",24,29,-5,"251,900","262,251","-10,351","92,439","84,471","7,968","99,689","97,123","2,566","3,463","2,801",662,"296,390","244,494","51,896","103,423","134,089","-30,666"
令和5年,,2023C.Y.,,"912,315","933,952","-21,637",          --,          --,          --,"90,274","92,612","-2,339","63,618","68,021","-4,403","26,655","24,591","2,064",81,34,47,"821,961","841,306","-19,345","719,464","738,101","-18,637",          --,0,0,"205,065","263,907","-58,841","82,326","84,633","-2,307","122,753","123,827","-1,073","4,176","2,550","1,626","305,143","263,185","41,959","102,497","103,205",-708
令和6年,,2024C.Y.,,"1,316,095","1,350,673","-34,578",          --,          --,          --,"86,699","91,794","-5,094","65,366","67,702","-2,336","21,333","24,092","-2,759",310,18,292,"1,229,086","1,258,862","-29,776","1,047,691","1,061,001","-13,310",          --,1,-1,"346,797","486,031","-139,234","126,642","122,663","3,979","129,772","112,528","17,245","4,149","4,104",46,"440,331","335,676","104,655","181,394","197,861","-16,466"
