variable,horizon,response,lower,upper
risk_off,0,0.0988750398992198,0.0988750398992198,0.0988750398992198
risk_off,1,0.05075059737419689,0.0474711548288705,0.053009253336531156
risk_off,2,0.0268811599912683,0.02285475013834927,0.029280589041602877
risk_off,3,0.014396571622881526,0.010170792025660638,0.016954549665108853
risk_off,4,0.009097930799754806,0.004558501948494002,0.011873920625658046
risk_off,5,0.0069684619087425365,0.0022111334397123187,0.010179003596060648
risk_off,6,0.005546207217374852,0.0005521846417292783,0.00878151113930978
risk_off,7,0.004514160576799985,-0.0009487453656097975,0.008160217418457273
risk_off,8,0.004012241087390676,-0.0012521539692344386,0.007509980505609324
risk_off,9,0.0035886876383034606,-0.0012741000310160123,0.007526507673565556
risk_off,10,0.003299895613530756,-0.0012938619291450128,0.007282021903493039
risk_off,11,0.0030835409516390805,-0.0013776484471818284,0.007057791733614074
risk_off,12,0.002869978362816739,-0.0015858429690362782,0.0071009411756273065
risk_off,13,0.0027030912625291108,-0.0019431204485304827,0.006928489151002011
risk_off,14,0.002489574016374708,-0.002134911886299042,0.006796001302229151
risk_off,15,0.0023299691996172193,-0.0023541342862926622,0.006735392549425106
risk_off,16,0.0021605764461944334,-0.0023549107547469416,0.006465960103155859
risk_off,17,0.002017500164490411,-0.0025198300972896384,0.006227196939831068
risk_off,18,0.0018983430154280343,-0.0025797997125161323,0.005968000363819455
risk_off,19,0.001802458581681647,-0.002561025365833085,0.005724939104822819
risk_off,20,0.001727471594774846,-0.002502621923123057,0.005557328509646142
risk_off,21,0.0016679162269333907,-0.0023696425436184484,0.0053557201867844165
risk_off,22,0.001624687100685936,-0.002293175062737411,0.005143858821171934
risk_off,23,0.001593705794860063,-0.0021955011136951326,0.005057243398696633
risk_off,24,0.001572547893814749,-0.0020084720636150822,0.004945270951511025
risk_off,25,0.0015592403643413864,-0.0018539317661424247,0.004870063317520082
risk_off,26,0.0015531446896117687,-0.001735543982780483,0.004689552694090304
risk_off,27,0.001553530766561881,-0.0016204238934835603,0.004624981272185009
risk_off,28,0.001559768218394305,-0.0014933003581478858,0.004493992736859885
risk_off,29,0.0015714412219411337,-0.001405285456065114,0.004361468493412702
risk_off,30,0.0015879311210881691,-0.0013040246624451575,0.00427784664408545
risk_off,31,0.0016085186595347686,-0.0012863574274601182,0.0042716258325473135
risk_off,32,0.0016326873790904297,-0.0012418404073441722,0.004250838588944144
risk_off,33,0.0016600304063113139,-0.001205266270235964,0.0042522232617821
risk_off,34,0.0016901610582930175,-0.0011302479548765429,0.004234617653794777
risk_off,35,0.0017227246837577346,-0.0010722365337543357,0.0042458510703879205
risk_off,36,0.0017573784794570285,-0.0009678588275498768,0.004277658749695918
risk_off,37,0.0017937857285338003,-0.0008979078997337768,0.004349991942068151
risk_off,38,0.0018316106038889627,-0.0008132398014422654,0.004432666784884355
risk_off,39,0.0018705489018690045,-0.0007611057871845952,0.004466908780301505
risk_off,40,0.0019103132479612608,-0.00068489298680434,0.004559023257537764
risk_off,41,0.0019506260829314536,-0.0006591660705313785,0.004598902164636881
risk_off,42,0.0019912199752476867,-0.0005687514912253588,0.004637555343182241
risk_off,43,0.0020318393494640403,-0.0005045730680851968,0.004668613897631521
risk_off,44,0.002072241974739245,-0.00048728467439394216,0.004693535172048865
risk_off,45,0.002112200395689846,-0.0004411187020158664,0.004734789139753603
risk_off,46,0.0021515052537586215,-0.00039432131775281505,0.004796127118895662
risk_off,47,0.002189965800681324,-0.00033721299404172294,0.004815066831766481
risk_off,48,0.0022274107250916234,-0.00027378688878068873,0.004809517478937692
risk_off,49,0.0022636893841030186,-0.0002332494715368294,0.004785982949309454
risk_off,50,0.0022986727707917536,-0.00021119227076575435,0.004820216792995497
risk_off,51,0.002332253910181702,-0.0001837783572461682,0.004836366401154052
risk_off,52,0.0023643478995124785,-0.00012232471998137006,0.004829680952729459
risk_off,53,0.002394891715483174,-7.776193392373955e-05,0.004855847488222356
risk_off,54,0.0024238436150909332,7.471483989003567e-06,0.004852134315671113
risk_off,55,0.002451182276061572,4.777653288883449e-05,0.004859378530856417
risk_off,56,0.002476905731257974,8.57898915926325e-05,0.004859308784791736
risk_off,57,0.0025010300617099453,0.00013369166873267502,0.004834948647647929
risk_off,58,0.0025235878720048107,0.00020579584054124803,0.004785593244790638
risk_off,59,0.002544626617228667,0.0002308328778210816,0.004818780228473173
risk_off,60,0.0025642068343633214,0.0002538087092287136,0.004844261117236521
risk_off,61,0.002582400310070722,0.0002778673870443343,0.004837578351040773
risk_off,62,0.0025992882247006842,0.00033172876658462276,0.0048175774612772004
risk_off,63,0.0026149593098441495,0.0003953922736845659,0.0047941618244856
risk_off,64,0.002629508045902718,0.000380950359332408,0.0047737627979946694
risk_off,65,0.0026430329278529295,0.0004194235166930601,0.004756521736390814
risk_off,66,0.00265563482550401,0.0004292688255689133,0.004733591218981858
risk_off,67,0.002667415458992219,0.00046106600198376715,0.004722477906408229
risk_off,68,0.0026784760040444743,0.00046074755964490573,0.004728183519364851
risk_off,69,0.0026889158379251573,0.0004601916535759136,0.004733503022440254
risk_off,70,0.0026988314333622207,0.00046426117975515953,0.0047336574646499995
risk_off,71,0.0027083154037349797,0.0004768450414162575,0.004728764292963171
risk_off,72,0.002717455699893127,0.0004920774563943423,0.004725120308003245
risk_off,73,0.0027263349561903877,0.0005061586071308757,0.0047168240317864785
risk_off,74,0.002735029980748486,0.0005265420130420335,0.004717027004994107
risk_off,75,0.0027436113827271425,0.0005363621056248128,0.0047102110441253
risk_off,76,0.0027521433277568064,0.0005417467394344041,0.00470404695473973
risk_off,77,0.0027606834114313333,0.0005522926768768414,0.004701969687898249
risk_off,78,0.0027692826398122384,0.0005625549345047563,0.004698829401267949
risk_off,79,0.002777985505313098,0.0005728162423775492,0.0046910154845003545
risk_off,80,0.0027868301460430202,0.0005824089417674875,0.004688411721219095
risk_off,81,0.0027958485766569857,0.0006039120599211064,0.004686691349241287
risk_off,82,0.0028050669789560327,0.0006265190081379963,0.00469104281377199
risk_off,83,0.0028145060408875247,0.0006337836546936042,0.004685781291995626
risk_off,84,0.0028241813331596997,0.000641420092486907,0.00468653844766346
risk_off,85,0.0028341037133712515,0.0006493929766259001,0.004687970525896788
risk_off,86,0.0028442797483389185,0.0006573442130815911,0.004690058481900119
risk_off,87,0.0028547121461551445,0.0006598701136038713,0.004692806471008902
risk_off,88,0.0028654001903973244,0.0006724436984560073,0.004696180396155031
risk_off,89,0.002876340169816762,0.0006832247372377629,0.004700145613174532
risk_off,90,0.00288752579774077,0.0006923159186689664,0.004702971553463038
risk_off,91,0.0028989486163068876,0.0006972950473061941,0.0047100269561962055
risk_off,92,0.0029105983815000958,0.0006956143382773117,0.004715997341720792
risk_off,93,0.002922463425771313,0.0007082975766301826,0.004728124445276114
risk_off,94,0.0029345309957699286,0.0007212061178540983,0.004750458774092547
risk_off,95,0.0029467875634183417,0.0007343238646002193,0.004772848250077138
risk_off,96,0.0029592191091882022,0.0007469042511260319,0.004793382486462276
risk_off,97,0.0029718113770041766,0.0007561882816010714,0.004810935384520809
risk_off,98,0.0029845501007007107,0.0007654497666066809,0.004828900405954638
risk_off,99,0.0029974212023913113,0.000774774325825748,0.004847252151015945
risk_off,100,0.0030104109634800716,0.0007840300204116577,0.004865963371120003
risk_off,101,0.0030235061693543266,0.0007932083687796601,0.004885005483071078
risk_off,102,0.003036694229048893,0.0008023027438218132,0.004904270314972599
risk_off,103,0.0030499632713703187,0.0008113082382472827,0.004923627086722787
risk_off,104,0.003063302219118208,0.0008202215239712218,0.004933263486377151
risk_off,105,0.003076700843144697,0.0008290407081022799,0.004941952287008993
risk_off,106,0.003090149798056928,0.0008377732326553574,0.004950805556721728
risk_off,107,0.003103640641395934,0.0008464635437552345,0.004967906770153761
risk_off,108,0.0031171658381227863,0.0008550640655553905,0.004988236337821559
risk_off,109,0.003130718752213965,0.000863575906569368,0.005008485291913404
risk_off,110,0.003144293627116547,0.0008720010258721129,0.005028641807606666
risk_off,111,0.003157885556744057,0.0008803421109889029,0.00504869709940042
risk_off,112,0.0031714904486092083,0.0008886024610892341,0.005068579610286993
risk_off,113,0.003185104980593633,0.0008967858762916408,0.005080026204538751
risk_off,114,0.0031987265527500305,0.0009048965537154246,0.0050981762378528115
risk_off,115,0.0032123532354217444,0.0009129389907597424,0.005119192237618186
risk_off,116,0.0032259837148508074,0.0009209178959485339,0.005140385809361703
risk_off,117,0.0032396172373302893,0.000928838107549314,0.0051617490456812645
risk_off,118,0.003253253552841969,0.0009367045200572374,0.005183272968416535
risk_off,119,0.0032668928590075795,0.0009445220185313844,0.005201628425579088
risk_off,120,0.003280535746072383,0.0009522954206781285,0.0052155818617461444
risk_off,121,0.0032941831435346976,0.000960758505964346,0.005227144041378504
risk_off,122,0.0033078362689351005,0.0009707808283264453,0.005235573044151649
risk_off,123,0.0033214965792249824,0.0009806308625272082,0.005244157481693699
risk_off,124,0.003335165725046441,0.0009903267166248978,0.005252905538677313
