variable,horizon,response,lower,upper
risk_off,0,0.11663595864140044,0.11663595864140044,0.11663595864140044
risk_off,1,0.04846459215431828,0.032855124691757755,0.05819499586446892
risk_off,2,0.016497940176179726,-9.028434151540945e-05,0.029311402762510947
risk_off,3,0.0014151603693262726,-0.012009601347533653,0.012661311765023699
risk_off,4,0.013222548481240715,0.0026655049452336916,0.02400733174867855
risk_off,5,0.009760661497769494,-0.0003713511434442584,0.01990698678218154
risk_off,6,0.006967161156838617,-0.0014986787380450734,0.016019557153841804
risk_off,7,0.009454009420899166,0.0019493546140358909,0.01780799079605754
risk_off,8,0.007137290863607797,-0.0003510115829961465,0.0151703478488404
risk_off,9,0.0034279968347969095,-0.003162938443484432,0.010448324019018197
risk_off,10,0.002306737813020799,-0.003534769071093169,0.009071680753942551
risk_off,11,0.0018714728181310784,-0.0038531901525342017,0.00823146425045916
risk_off,12,0.0018907085933089146,-0.003350346908756925,0.00867694008774368
risk_off,13,0.0029138767681524324,-0.002282916073943424,0.009825766535779245
risk_off,14,0.003921204597674243,-0.001035306319590519,0.010874149010744898
risk_off,15,0.004029244957043032,-0.0006442764175017033,0.010755747146302497
risk_off,16,0.003580870116333472,-0.0007638174881111217,0.010150680492722235
risk_off,17,0.0028682275565752795,-0.0010539686357936774,0.009169664594530042
risk_off,18,0.0021128111759231055,-0.0018746565462240572,0.00816271343447736
risk_off,19,0.0016920324903066555,-0.002223331245771389,0.007592763378305101
risk_off,20,0.0017164391275716643,-0.0018836477181528725,0.0076283399726164835
risk_off,21,0.0020033083248990184,-0.0013503117700656784,0.00790362623662944
risk_off,22,0.0023306639450561433,-0.0008490224137349994,0.008170541400231842
risk_off,23,0.0025132677145847586,-0.0006832168232114813,0.008236160592920696
risk_off,24,0.0024534069821113376,-0.0007485786270438077,0.007849139566178855
risk_off,25,0.002197243616198096,-0.0009487501538290797,0.007599348819823099
risk_off,26,0.0018799355452138043,-0.0012969736848097181,0.007076061872456013
risk_off,27,0.0016301635734318459,-0.001459248455422416,0.006782629496439072
risk_off,28,0.0015174910788175386,-0.0015210434072709107,0.006527328736199194
risk_off,29,0.0015347962819723896,-0.0013547078611757803,0.006367501819328466
risk_off,30,0.0016146975507414867,-0.0012013561319772087,0.0063348933765059855
risk_off,31,0.0016753427243801876,-0.0009917816622418746,0.006202632634093518
risk_off,32,0.0016631657024527647,-0.0008785151586579083,0.006037984709337004
risk_off,33,0.0015707869056607688,-0.0008487865462812012,0.00582214823794059
risk_off,34,0.001430169458285794,-0.0010650266696834556,0.00560998835804521
risk_off,35,0.0012893748496559986,-0.0012538959223116904,0.0054160103123012775
risk_off,36,0.0011863611759857346,-0.0013153385054815157,0.005248413654039191
risk_off,37,0.0011334104765204256,-0.0012418187404347498,0.005065374868242811
risk_off,38,0.001117251844072918,-0.0011310629389349757,0.004951230850469663
risk_off,39,0.0011109571718732904,-0.001091940207191644,0.004820194882414406
