variable,horizon,response,lower,upper
risk_off,0,0.12381146620536976,0.12381146620536976,0.12381146620536976
risk_off,1,0.05376329301520402,0.03582428153032297,0.06604126709493062
risk_off,2,0.03157648884435129,0.01423507983215916,0.043311083078431206
risk_off,3,0.01884870709130255,0.002446572037558286,0.028608749819254636
risk_off,4,0.010009320660202476,-0.005142712563759303,0.020540606953456404
risk_off,5,0.00571457692712932,-0.00790497345649333,0.01685345206024491
risk_off,6,0.0023891792232492628,-0.010875632801359818,0.013442228741746878
risk_off,7,0.0005327898230306407,-0.012481713261973998,0.010607169973192197
risk_off,8,0.0004464069925267742,-0.011844019989978298,0.010031925316824045
risk_off,9,0.0015515814967520317,-0.010563422879329291,0.010670444231377422
risk_off,10,0.0033423709376497962,-0.008422186284881953,0.012450602765453277
risk_off,11,0.00531979866941982,-0.005540663667748672,0.01452584931972558
risk_off,12,0.007020445103681819,-0.002934411188691634,0.01599679933030242
risk_off,13,0.008121011768519863,-0.0008773038589032238,0.01655070011680496
risk_off,14,0.008484288322457094,0.0002333467760553757,0.016239165549436198
risk_off,15,0.008157857852693174,0.0006569598975359835,0.01564998319397676
risk_off,16,0.007333341553074677,0.00022714671571488038,0.014941826694870585
risk_off,17,0.006277407787759334,-0.000401764090667326,0.01384144468102096
risk_off,18,0.00525967632816596,-0.0011718653149438473,0.012882885195299143
risk_off,19,0.004492718128208653,-0.0018314697632652707,0.012229558323860948
risk_off,20,0.004094747158900125,-0.002135046432199291,0.011717801434322021
risk_off,21,0.00407984453337672,-0.0019304293423228246,0.011711149640541652
risk_off,22,0.004373129841271176,-0.0018090481067081627,0.011596838584228808
risk_off,23,0.004843078019730817,-0.0013789571497519687,0.01187249473431992
risk_off,24,0.005340835268558269,-0.0007894047577164194,0.012267948229021773
risk_off,25,0.005736555958985341,-0.00011009338496084082,0.01256164718970763
risk_off,26,0.005945170341140181,0.0004229723239338576,0.012583166556947708
risk_off,27,0.005937676345412782,0.0005631954945250151,0.012574912263269357
risk_off,28,0.005737953922814882,0.00048022353006940276,0.012146840952098717
risk_off,29,0.0054083279569839635,0.00038206138440573505,0.011875274690175405
risk_off,30,0.005029055210355313,0.00011804628439979206,0.01169448361398557
risk_off,31,0.0046773666376050144,-0.00034281859738888114,0.011193402494649318
risk_off,32,0.004410817258305316,-0.0005614124139192429,0.010737303012381728
risk_off,33,0.004257909645057014,-0.0007278578777742352,0.010590666328798444
risk_off,34,0.004216819651775828,-0.0006844471803878272,0.01039510154745252
risk_off,35,0.00426110203226973,-0.0005651300919825617,0.01028602978177557
risk_off,36,0.004349891807837358,-0.0003566201860872928,0.010223087881370033
risk_off,37,0.004439545987634034,-8.64846591881232e-05,0.010212312838918986
risk_off,38,0.004493879627393005,8.512594537275548e-05,0.010265187313436895
risk_off,39,0.0044909579500229885,3.462539072739167e-05,0.010072158272563471
risk_off,40,0.0044255282776336415,-1.1475867233390221e-05,0.009893863614401394
log_wui,0,0.007255442917004839,0.007255442917004839,0.007255442917004839
log_wui,1,0.012066021802348673,-0.006055702232705346,0.029311734677920583
log_wui,2,0.019953315493616636,-0.013532356340391448,0.050645494218717786
log_wui,3,0.03342241219156762,-0.008296947403929755,0.07247523953442819
log_wui,4,0.044884031547787945,0.000375101858622934,0.08645627161391832
log_wui,5,0.04963618156340033,0.008862839645676792,0.09025355136095235
log_wui,6,0.047998760491792455,0.012015093912310534,0.08529249137198192
log_wui,7,0.04046995917317475,0.0037416143994666285,0.07583060045332134
log_wui,8,0.029172578868355042,-0.008774508918400634,0.06473747136352606
log_wui,9,0.01679611779456905,-0.02521168534133819,0.05060108945300982
log_wui,10,0.005753307838875343,-0.03615661953184485,0.03726190139109129
log_wui,11,-0.0021922461766137897,-0.03943767213150657,0.025321901545080558
log_wui,12,-0.006206935974358908,-0.040352048409156994,0.016868087641620337
log_wui,13,-0.006441752352134261,-0.035017058638948155,0.01282590848963095
log_wui,14,-0.003830606976683814,-0.029554601055749172,0.01195286863996264
log_wui,15,0.00025214934205064835,-0.024897297953398064,0.014538057378629177
log_wui,16,0.004371093291744163,-0.01971814208146801,0.01884106854734823
log_wui,17,0.007357340501620079,-0.015698277906498928,0.02227683283567945
log_wui,18,0.008520182705286256,-0.01302828581368265,0.022685443934625966
log_wui,19,0.007715765932614587,-0.012853008737865513,0.021131298154999926
log_wui,20,0.005282210047107938,-0.015099032022972452,0.018749347160718206
log_wui,21,0.001878685023370649,-0.017576488865730384,0.015301035166490205
log_wui,22,-0.001718959875108516,-0.020868335576487873,0.010811531352226919
log_wui,23,-0.0048129041743014585,-0.024016594372507076,0.007145389589081992
log_wui,24,-0.006926692262045958,-0.024960260754703475,0.004133174389197783
log_wui,25,-0.007874169949580187,-0.024967803243309643,0.0025415602919485795
log_wui,26,-0.007751583795183162,-0.02400238728123836,0.0021931788564884995
log_wui,27,-0.006867965888169535,-0.02269065674098628,0.0033189309457507424
log_wui,28,-0.005640060765273763,-0.021505264271305714,0.004484610868795149
log_wui,29,-0.004481396862204844,-0.02009754250821559,0.005664256038989202
log_wui,30,-0.003711268218891988,-0.01929595976213755,0.006291001844602685
log_wui,31,-0.0035004754782725807,-0.01899443877189669,0.0063728924890245325
log_wui,32,-0.0038595497729585204,-0.018791473576011845,0.005631896294040429
log_wui,33,-0.004664713666327857,-0.019243789916823482,0.004613679367003472
log_wui,34,-0.00570924076205569,-0.020107482019281635,0.004009763888427426
log_wui,35,-0.006764353535367454,-0.020755938174611993,0.0029527907729127454
log_wui,36,-0.007634425859827881,-0.021297279343337597,0.002071484739495036
log_wui,37,-0.008195172162421799,-0.021748942104959024,0.0013631988184542086
log_wui,38,-0.008409264742869235,-0.021290329174312353,0.0011828071481386228
log_wui,39,-0.008319819737021414,-0.021139791362000407,0.0015636027948087833
log_wui,40,-0.008027051038364975,-0.02108295374749723,0.0017539290166185856
spread,0,0.023722781860927897,0.023722781860927897,0.023722781860927897
spread,1,0.07592854174385623,0.05619254651348796,0.09468007015165424
spread,2,0.11607428044297691,0.08880207597839726,0.14072169085718883
spread,3,0.12549689099280817,0.09404667530496148,0.15279536001172694
spread,4,0.13073223523406044,0.09419188653075984,0.15921389179735843
spread,5,0.12842332741843346,0.09039256045230849,0.15859849604939827
