specification,variable,horizon,response,lower,upper,significant_95
restricted,debtsec_pct,1,-0.15023985396243714,-0.36799444117658875,0.07237048409984784,False
restricted,debtsec_pct,3,0.07553342138630106,-0.04659484635252034,0.21899062048290863,False
restricted,debtsec_pct,6,0.00928587442777461,-0.04217412389743966,0.06946357967047868,False
restricted,debtsec_pct,12,-0.002605659183163244,-0.026403036227610612,0.02888599669233035,False
restricted,debtsec_pct,24,-0.0020549168245801667,-0.012532690055459685,0.013436948861907334,False
restricted,equity_pct,1,-0.028478357604975482,-0.1216965812442049,0.08767684129719651,False
restricted,equity_pct,3,-0.05529075369923698,-0.12264792407586275,0.026820073773965777,False
restricted,equity_pct,6,0.01748609115736669,-0.01658943266833152,0.06485755273572397,False
restricted,equity_pct,12,0.00211524019724772,-0.01275025058161945,0.02437557351161475,False
restricted,equity_pct,24,-0.0015931222850850309,-0.012941298997028458,0.008206906108212633,False
restricted,other_pct,1,0.011274044120564439,-0.3867053808606342,0.39896370798687064,False
restricted,other_pct,3,-0.21860862491427024,-0.46417742047797256,0.02187592216903933,False
restricted,other_pct,6,-0.03698910493614665,-0.15425341364483042,0.08057609422080754,False
restricted,other_pct,12,-0.035921556073763315,-0.08773799482621036,0.01898254103617351,False
restricted,other_pct,24,-0.014915714737315398,-0.035389121805444214,0.011379274037921284,False
restricted,direct_pct,1,-0.01717022592508373,-0.04916649258111218,0.01536763118457264,False
restricted,direct_pct,3,0.04308838014680905,0.01431767043008547,0.06725336454432056,True
restricted,direct_pct,6,-0.00739004228643378,-0.020635193966247415,0.0038328781255266248,False
restricted,direct_pct,12,-0.0008568427442931366,-0.006995001568903352,0.004383471733632206,False
restricted,direct_pct,24,0.0003294036797319386,-0.002719038324566375,0.004145567905250385,False
unrestricted,debtsec_pct,1,-0.14598358105193426,-0.36012259478508396,0.06070999802143715,False
unrestricted,debtsec_pct,3,0.07444680952205142,-0.04010311322676999,0.21954196496379905,False
unrestricted,debtsec_pct,6,0.008233106095464193,-0.04041157867304349,0.07000040330463457,False
unrestricted,debtsec_pct,12,-0.004945980352345654,-0.025532742932678758,0.026041709140208348,False
unrestricted,debtsec_pct,24,-0.0037079359205582168,-0.013200874535335999,0.009802990087337884,False
unrestricted,equity_pct,1,-0.041324341785081736,-0.13218838330587662,0.05963782076229678,False
unrestricted,equity_pct,3,-0.04864289804257491,-0.10588503189006937,0.02395160057293633,False
unrestricted,equity_pct,6,0.019681590608030954,-0.009443320308697576,0.06585512774030702,False
unrestricted,equity_pct,12,0.004067022832631457,-0.010258651093845505,0.027173921314765117,False
unrestricted,equity_pct,24,0.0004294243223334418,-0.010537710258915279,0.010369405503071527,False
unrestricted,other_pct,1,0.022264554420120642,-0.38925317927295544,0.3695527878185527,False
unrestricted,other_pct,3,-0.1827533567734983,-0.4130576414315916,0.051062075005627545,False
unrestricted,other_pct,6,-0.01635041935718268,-0.11627248496075565,0.07877040068944573,False
unrestricted,other_pct,12,-0.031538594432369144,-0.08148928728768008,0.01214814364833635,False
unrestricted,other_pct,24,-0.014402163911638758,-0.0326550870665954,0.0077716388482083135,False
unrestricted,direct_pct,1,-0.01934681374243751,-0.05694394909803239,0.013564567613334987,False
unrestricted,direct_pct,3,0.036191314697756855,0.00907727993658826,0.05929507637986232,True
unrestricted,direct_pct,6,-0.009706632487727742,-0.02246714242543459,0.0020946394962325903,False
unrestricted,direct_pct,12,-0.001517319639431372,-0.007119824545667226,0.0034529212357525163,False
unrestricted,direct_pct,24,-0.0001836499665933372,-0.003338727101616281,0.0029185975516893845,False
