variable,horizon,response,lower,upper
risk_off,0,0.11078814726960769,0.09982692482335019,0.12068712444701607
risk_off,1,0.045716486594259434,0.027457974947159583,0.058579183935400965
risk_off,3,-0.006287594526422152,-0.020734269801140598,0.0037576276315122756
risk_off,6,-0.0018444067086630135,-0.010308955143004221,0.0036459082616011706
risk_off,12,-3.905578390006062e-05,-0.004076734042909286,0.0020242652107325056
risk_off,24,0.0002947626711990582,-0.001232161253891046,0.0013508954782829876
risk_off,40,2.978210508499203e-05,-0.0006028569599945901,0.0006078216493039177
log_wui,0,0.008108331510749245,-0.01023390118361216,0.025939881105695416
log_wui,1,0.014508847950296503,-0.02042132998727837,0.0498273425400104
log_wui,3,0.040245072584211415,-0.014405043827139188,0.09027936132572388
log_wui,6,0.05433984539106947,0.005516726267216459,0.09026297652867799
log_wui,12,-0.0035549124893250322,-0.03490946709026092,0.01905180093268651
log_wui,24,-0.0004638728582626142,-0.017328069420113505,0.010742330570636656
log_wui,40,0.0016953903247135533,-0.005388791882498556,0.00679031321720128
spread,0,0.02651143174661071,0.0062354857617296575,0.04654362385576943
spread,1,0.07359255701000411,0.04282090860240299,0.10278565139703877
spread,3,0.10570939854128127,0.060348712671825705,0.13915844873756994
spread,6,0.07926977688571858,0.03455555066366301,0.1069096155557582
spread,12,0.05431730200884585,0.006389324390429621,0.07700443537644241
spread,24,0.023073840742848732,-0.009452420197140918,0.04143855958440842
spread,40,0.007832544801844128,-0.010675809048603182,0.02327261682423699
log_rgdp,0,-4.060565233802327e-05,-0.001018575493778268,0.0008985701196003125
log_rgdp,1,-0.0014769331553364877,-0.002679764971182854,-0.0002282424733704166
log_rgdp,3,-0.0036655483877227847,-0.005050917540892486,-0.0019504032006096024
log_rgdp,6,-0.0022868445247190903,-0.0035819294734288363,-0.0003314614017026746
log_rgdp,12,-0.001995774038343892,-0.002945441732092981,4.124074857076856e-05
log_rgdp,24,-0.001011347743500823,-0.0016841894615127065,0.0003874427674364573
log_rgdp,40,-0.0003898082608855663,-0.0008365509986863525,0.000374459055955045
log_reer,0,0.00595911465694881,0.003419707918515225,0.008606686090321468
log_reer,1,0.01117680372860811,0.007145232202294945,0.01499446870782288
log_reer,3,0.012496477477837664,0.006114095413421436,0.017288314954722772
log_reer,6,0.009473378957348488,0.0026354689081921324,0.01379669722240146
log_reer,12,0.005584453370419614,-0.001691692522955072,0.008588363895699943
log_reer,24,0.0020280633779888447,-0.003305900861404443,0.004690666312552379
log_reer,40,0.0006658039844839993,-0.0022573042157702653,0.002669339204041193
log_nikkei,0,-0.02343172053721906,-0.029314742905564375,-0.017090660353764532
log_nikkei,1,-0.0265424701245274,-0.035215105802124495,-0.016539913610080448
log_nikkei,3,-0.025034699978464504,-0.03671992174570407,-0.010133008438956571
log_nikkei,6,-0.021078215363185805,-0.0330903330916366,-0.0035254373040212745
log_nikkei,12,-0.014191025763867961,-0.025077356389818898,0.005841884826036322
log_nikkei,24,-0.006139212069296388,-0.016140865924561057,0.008984270012816353
log_nikkei,40,-0.0021042147054590294,-0.01017946898300606,0.0064511411696347495
debtsec_pct,0,-0.11006023250477008,-0.34083437321928833,0.1026734441643803
debtsec_pct,1,-0.1459835810519401,-0.36511043216636835,0.07742430908765044
debtsec_pct,3,0.0744468095220504,-0.036974109885485135,0.20606129525517017
debtsec_pct,6,0.008233106095464118,-0.034742864723748636,0.06996370430439698
debtsec_pct,12,-0.004945980352345353,-0.023716436901946455,0.024473259859359227
debtsec_pct,24,-0.0037079359205579154,-0.01350318310204423,0.010464182001996997
debtsec_pct,40,-0.0006393657515731239,-0.00705286060069085,0.0060045637475845725
equity_pct,0,-0.18360493538075184,-0.29004604358850666,-0.0753143448522899
equity_pct,1,-0.04132434178508222,-0.13847465457326297,0.06647063575483092
equity_pct,3,-0.04864289804257446,-0.10225607023637509,0.02216406192823509
equity_pct,6,0.019681590608030583,-0.009100512704426958,0.06522025697976533
equity_pct,12,0.004067022832631486,-0.009102930817336742,0.027024636650583682
equity_pct,24,0.0004294243223334435,-0.00894854791774527,0.010359776084634183
equity_pct,40,0.0004007636029081571,-0.005934914231775148,0.006305482198675369
other_pct,0,0.1807503967475411,-0.23676780119778104,0.5921707918991069
other_pct,1,0.02226455442012023,-0.367920967760644,0.39459533678855846
other_pct,3,-0.18275335677349977,-0.4175462502909851,0.033026248244721376
other_pct,6,-0.016350419357183628,-0.12110271262972405,0.08649866080805695
other_pct,12,-0.031538594432369345,-0.07674668268192453,0.009738680728632007
other_pct,24,-0.014402163911638852,-0.03246514652377033,0.008711618224995858
other_pct,40,-0.00562503362934579,-0.01398930403826935,0.007155996789309825
direct_pct,0,0.010758953710620146,-0.023359866138992956,0.04475197869827623
direct_pct,1,-0.019346813742434604,-0.055149019631544414,0.016923283186635447
direct_pct,3,0.036191314697756556,0.01009636362981146,0.060720782234932755
direct_pct,6,-0.009706632487727877,-0.022816900636438396,0.0008464296183043501
direct_pct,12,-0.0015173196394313705,-0.006818838293352536,0.0028427447703072766
direct_pct,24,-0.0001836499665933544,-0.003407637875769074,0.002757096102324129
direct_pct,40,-4.3814069254533915e-05,-0.0019139913782435453,0.0016194111213388095
