variable,horizon,response,lower,upper
risk_off,0,0.11921478810359419,0.11921478810359419,0.11921478810359419
risk_off,1,0.056589260163698786,0.037811149255069065,0.0686499893578795
risk_off,3,-0.005445869543776671,-0.02217966445453206,0.004196940899549003
risk_off,6,0.00016892261490818612,-0.006670877312412282,0.005159794803013419
risk_off,12,-9.491562862033847e-07,-0.0031391887674487944,0.0020477038862451546
risk_off,24,-4.377322701792793e-11,-0.0011149841907081434,0.0009836071811161746
risk_off,40,1.3183743750979645e-17,-0.0005316204742047372,0.0005100864598645392
log_wui,0,0.007280969096566867,0.007280969096566867,0.007280969096566867
log_wui,1,0.009397474473198535,-0.009527409075670666,0.02796873810074365
log_wui,3,0.02196745854869706,-0.0254830064219183,0.07102817962034444
log_wui,6,0.032297992991177575,-0.019620580648857532,0.07142961566225203
log_wui,12,-0.007168063198678047,-0.04201134705311599,0.012688217900570346
log_wui,24,-0.0023114532935981057,-0.018923330068594243,0.008688329166280599
log_wui,40,0.0004402284821481458,-0.006529771425192361,0.007042463270037254
spread,0,0.014851114040791735,0.014851114040791735,0.014851114040791735
spread,1,0.06336022809544699,0.042707016211625294,0.08185685964050446
spread,3,0.10539217829001635,0.0636231046393039,0.13464075161000041
spread,6,0.07873835879999916,0.030334567920355215,0.10436181565544453
spread,12,0.04660131220434139,-0.002285032764683311,0.06802041558826812
spread,24,0.0158404583192562,-0.01601410563591207,0.03520141647661162
spread,40,0.004090783230104487,-0.015188495174256873,0.019393418815946802
log_rgdp,0,9.487993891854132e-05,9.487993891854132e-05,9.487993891854132e-05
log_rgdp,1,-0.0012430669978418058,-0.002132916936123073,-0.0003360583973985219
log_rgdp,3,-0.003584321727124649,-0.004736706838760495,-0.002003824042913628
log_rgdp,6,-0.0021619815391699373,-0.0031800425750323187,-0.0002974316202876059
log_rgdp,12,-0.0016340099240301127,-0.0024579794759153847,0.00013268560587358812
log_rgdp,24,-0.0006967690876534436,-0.0012582588310799056,0.0004822232022163949
log_rgdp,40,-0.0002167984696654757,-0.0006430985881889476,0.00035802036229584607
log_reer,0,0.003636865079880357,0.003636865079880357,0.003636865079880357
log_reer,1,0.005490248711536747,0.0023779756332657485,0.008131816352448534
log_reer,3,0.004178837411598534,-0.0016430338670880367,0.008742291250959424
log_reer,6,0.002591668307020256,-0.003434115688049026,0.007461702303400222
log_reer,12,0.0010574156295186346,-0.00512346641827185,0.00573166546491919
log_reer,24,0.0001236307499085161,-0.004335413788946395,0.003589972080405958
log_reer,40,6.624333817579483e-05,-0.002324640958424606,0.002232160782593146
log_nikkei,0,-0.017128685395398004,-0.017128685395398004,-0.017128685395398004
log_nikkei,1,-0.01875965196095037,-0.025031548012577513,-0.012138383199201599
log_nikkei,3,-0.01599897770498644,-0.027412572296322563,-0.002145341630735846
log_nikkei,6,-0.012355496233626508,-0.02517326860782933,0.004828657075395167
log_nikkei,12,-0.0075223586639517484,-0.0199716041527217,0.011755713386040664
log_nikkei,24,-0.00270132646363847,-0.012850993739255466,0.012881974535802643
log_nikkei,40,-0.0009216668425263121,-0.008958711750657584,0.00810845472355273
debtsec_pct,0,-0.09862394485683051,-0.09862394485683051,-0.09862394485683051
debtsec_pct,1,-0.14579478103285237,-0.3565708773855021,0.09275401371528906
debtsec_pct,3,0.06833666181441349,-0.05568901873705657,0.21479309430105675
debtsec_pct,6,0.009287525862737837,-0.037729033844564844,0.06495300676037476
debtsec_pct,12,-0.001226961368279952,-0.01878718174969052,0.026779316728531274
debtsec_pct,24,-0.0016394825878984773,-0.010560113844508423,0.012523923026780926
debtsec_pct,40,-0.0002568374729254407,-0.00524358487000722,0.005527106094462867
equity_pct,0,-0.15541926490774774,-0.15541926490774774,-0.15541926490774774
equity_pct,1,-0.01604464917692231,-0.11615596072482853,0.09342777893127528
equity_pct,3,-0.055568098682140105,-0.121479496582664,0.028144371607629993
equity_pct,6,0.011988190247304804,-0.020594160095816518,0.053318686164323816
equity_pct,12,0.0005130101995147226,-0.011993310052081431,0.02123103881277518
equity_pct,24,-0.0010127265752759575,-0.010005174087390508,0.0086192935458027
equity_pct,40,-0.00013836193607251002,-0.006799089525979124,0.005558781967822377
other_pct,0,0.17888579456428635,0.17888579456428635,0.17888579456428635
other_pct,1,-0.0013319100115090417,-0.39205036788638226,0.3746895206254341
other_pct,3,-0.2070121339350681,-0.44178955044210266,0.04096756476975595
other_pct,6,-0.03549507677084046,-0.14140081478419841,0.06451511139538656
other_pct,12,-0.030540179946197756,-0.07712571855551205,0.016810104873893776
other_pct,24,-0.010388522983078609,-0.028976963747551862,0.012184495252689541
other_pct,40,-0.0031000402340397824,-0.012535555121976292,0.008494976462909297
direct_pct,0,0.011717975314203885,0.011717975314203885,0.011717975314203885
direct_pct,1,-0.01295519905935587,-0.04637147187020489,0.01762964742100092
direct_pct,3,0.043508649149694635,0.017312986192719728,0.06593757847413952
direct_pct,6,-0.006264821280801387,-0.019728909981675813,0.004154000655460572
direct_pct,12,-0.00036707413060780626,-0.005571170935902202,0.00419798270829261
direct_pct,24,8.243675944451805e-05,-0.002810383887883809,0.00330923975166988
direct_pct,40,3.572319189193369e-05,-0.0017979319513602762,0.001710028128179476
