variable,horizon,response,lower,upper
risk_off,0,0.11499389624336699,0.10341369794943507,0.1260160577802393
risk_off,1,0.053594964050090316,0.034186817592881974,0.06588383257901291
risk_off,3,0.004614922238546178,-0.008736629890905186,0.010970805993954055
risk_off,6,-0.003683057863518516,-0.012719845414746783,1.736358640031735e-05
risk_off,12,-0.0015975594045229712,-0.005465317043643315,0.0005717707904435937
risk_off,24,-0.0005292004986370313,-0.0019347234229910816,0.000700453402172511
risk_off,40,-0.00023529351562783242,-0.0009078208159507734,0.0005083444495996159
log_wui,0,0.0343596781886213,-0.023047617620290783,0.08898161795881128
log_wui,1,-0.008669399475592102,-0.07422399796827467,0.06094259375143555
log_wui,3,-0.02216225813279565,-0.07631096152803175,0.03848070928419192
log_wui,6,0.00799059104085818,-0.032230052900306706,0.04824273099617449
log_wui,12,0.01965015163232457,-0.012856108943543084,0.04482578438185432
log_wui,24,0.012060042003041527,-0.008452268664091865,0.024777543462984768
log_wui,40,0.00611424639023708,-0.0055441619965884825,0.012805037187504918
spread,0,0.03280774724637369,0.007200489782095299,0.06095673301788173
spread,1,0.08588214054051396,0.050935930641675814,0.11888796775826657
spread,3,0.10259661893104888,0.055646280515500156,0.13983662312151088
spread,6,0.07700240340746613,0.02512903686402475,0.10791006160601968
spread,12,0.04163636550138725,-0.00661381072893885,0.06928462080216184
spread,24,0.016504727515757982,-0.018547149140933923,0.041376123911948295
spread,40,0.006393545918542347,-0.014281432088127086,0.026365339756990323
log_rgdp,0,0.00021293453884646,-0.0008092540545999332,0.0011936886910019183
log_rgdp,1,-0.0026193635169505566,-0.003965902583760247,-0.0012182439709774752
log_rgdp,3,-0.00402380089258525,-0.005510332781391519,-0.0020431263269024566
log_rgdp,6,-0.0034459425120147544,-0.0048406974042397915,-0.0012063429694143828
log_rgdp,12,-0.0023209301812513535,-0.003341066100937103,-0.00010967961192407492
log_rgdp,24,-0.0012119381860421572,-0.001773141642198902,0.00029675867384446644
log_rgdp,40,-0.0005596669825455906,-0.0010478919949259893,0.000321351719035765
log_reer,0,0.007006327952841927,0.00412001050127454,0.009795987777011914
log_reer,1,0.012303361935182281,0.008092605725021827,0.015869111568920888
log_reer,3,0.015080355644113514,0.00847320972664225,0.01966820358638846
log_reer,6,0.012836290272153782,0.0046507003789351,0.01691092527129836
log_reer,12,0.008710708721548732,0.0002842685555129746,0.01144161415659234
log_reer,24,0.004776957146683556,-0.0013718586566454222,0.00679703093566443
log_reer,40,0.002421587437271244,-0.0010366251512395766,0.003942869766607452
log_nikkei,0,-0.027213962472822237,-0.03529277355672559,-0.019179024602930965
log_nikkei,1,-0.027803157631084194,-0.03892001513398089,-0.01589851971880047
log_nikkei,3,-0.026528121430000676,-0.040039954254765385,-0.009628532983691998
log_nikkei,6,-0.021322960595321048,-0.033642576951545405,0.00036017127524393214
log_nikkei,12,-0.014125322231677506,-0.025069092706277867,0.007807239327596288
log_nikkei,24,-0.007234139658040351,-0.01749735606908487,0.009615266838832117
log_nikkei,40,-0.003291632861950691,-0.011889165838875553,0.007284738607977591
debtsec_pct,0,0.013969178963609918,-0.24079772056278873,0.25618212891406966
debtsec_pct,1,-0.3319304789480103,-0.5640436142604804,-0.1263436800772947
debtsec_pct,3,-0.016877068458750373,-0.07615037234222374,0.060816540397094054
debtsec_pct,6,0.01083535040671073,-0.02929050779777571,0.06697454106659113
debtsec_pct,12,-0.0034654879088358045,-0.02559901483393673,0.029513233513626256
debtsec_pct,24,-0.004874227209677018,-0.017768943013660707,0.01298929710595044
debtsec_pct,40,-0.0027527216991196004,-0.011204655296864197,0.006542636272175961
equity_pct,0,-0.19286811292626396,-0.30881284002825093,-0.07848947503642954
equity_pct,1,-0.185931414115977,-0.2928613113128048,-0.07609593622226332
equity_pct,3,-0.032725353516603814,-0.06866054247817947,0.03064441268646498
equity_pct,6,0.009501747584461045,-0.011562710652861201,0.05413382524987852
equity_pct,12,0.0053640168430108244,-0.00653417200016204,0.025928612829652482
equity_pct,24,0.0013690395892886262,-0.005721534506650806,0.009406098615876334
equity_pct,40,0.0005065925039985216,-0.0033461511533292676,0.004116225151625565
other_pct,0,1.0977955650521076,0.7075703029765174,1.471413038592163
other_pct,1,0.17404341453336525,-0.25919210031297396,0.5216042167152366
other_pct,3,-0.10472954135341984,-0.2784022604238501,0.004005842949452663
other_pct,6,-0.10656106498022916,-0.2233823731140099,-0.0179169434543439
other_pct,12,-0.05320503692451369,-0.1023812838754806,0.0012935855466458218
other_pct,24,-0.021571381535808558,-0.04299160380740775,0.008303195009681266
other_pct,40,-0.008817016471981508,-0.02013465453847118,0.008492229479750233
direct_pct,0,-0.009721384350446997,-0.04789857927792213,0.03464969320557985
direct_pct,1,-0.0003942721110170909,-0.03653398117768872,0.03722847884562489
direct_pct,3,0.007245160645499636,-0.00511916330876923,0.02089730993419609
direct_pct,6,0.004268011795675571,-0.00574748778766809,0.014296674972743758
direct_pct,12,0.00220375021941644,-0.004271060814995792,0.00846349820934838
direct_pct,24,0.0010062762660101349,-0.003002603452753853,0.004448245938932021
direct_pct,40,0.00039926954795274535,-0.0019078677800999893,0.002189991532096814
