variable,horizon,response,lower,upper
risk_off,0,0.11921478810359419,0.11921478810359419,0.11921478810359419
risk_off,1,0.056589260163698786,0.037658910613481915,0.06906430363756276
risk_off,3,-0.005445869543776671,-0.020507410304965116,0.004135244154735605
risk_off,6,0.00016892261490818612,-0.007969303244506787,0.005001921358901767
risk_off,12,-9.491562862033847e-07,-0.0037101150296181907,0.0020916917531045927
risk_off,24,-4.377322701792793e-11,-0.001333234970630942,0.0010994201088820274
risk_off,40,1.3183743750979645e-17,-0.0006150920229461401,0.0006289476271143032
log_wui,0,0.0072554429170047915,0.0072554429170047915,0.0072554429170047915
log_wui,1,0.012236778488435403,-0.007403291879739307,0.029631846751797117
log_wui,3,0.03426598746389943,-0.01769881644269,0.07947548281186252
log_wui,6,0.049597351141373675,-0.0031236809883601864,0.09496752721709105
log_wui,12,-0.005340685401327968,-0.0399467790669088,0.019817097131952236
log_wui,24,-0.002326051507880081,-0.01977484687183792,0.011305115534036864
log_wui,40,0.00023769948254538808,-0.007561718308147205,0.007515566003343645
spread,0,0.023722781860927702,0.023722781860927702,0.023722781860927702
spread,1,0.07405145313609683,0.05362425354596957,0.09293575907499063
spread,3,0.11515421636629149,0.07139052233539551,0.147144076696169
spread,6,0.08797856753487453,0.039024614233291115,0.11543971302308778
spread,12,0.05443389780793099,0.005990873392633766,0.07977910133897366
spread,24,0.017741053429919225,-0.017332131775288695,0.04022201028980336
spread,40,0.00268219156675566,-0.019194160165989033,0.02103391377910425
log_rgdp,0,-3.633447796957362e-05,-3.633447796957362e-05,-3.633447796957362e-05
log_rgdp,1,-0.0015209188694241581,-0.002415125796207103,-0.000537315542414939
log_rgdp,3,-0.0039796297685239105,-0.0052983547886480105,-0.0024074424139357647
log_rgdp,6,-0.0026205711810117324,-0.0038058224979294246,-0.0007616906131953524
log_rgdp,12,-0.0021689743001275276,-0.002989162682281465,-0.00012322266561969966
log_rgdp,24,-0.0010580048910196584,-0.0017508359077366194,0.00034376192567463643
log_rgdp,40,-0.00038963734652128115,-0.0008642303066442971,0.00039274277351861495
log_reer,0,0.005332295080937337,0.005332295080937337,0.005332295080937337
log_reer,1,0.010392660747832063,0.007732550196097467,0.012629483465295506
log_reer,3,0.011970760098213115,0.005957856425441951,0.016308214742248195
log_reer,6,0.009134785583092773,0.0016958269276006691,0.013063010578169594
log_reer,12,0.005050385611373985,-0.0024742309113857815,0.008312748033915976
log_reer,24,0.0017935889146090008,-0.0042793103879954,0.0049895258063223985
log_reer,40,0.0008058916966330361,-0.0027064903508967827,0.003047691130751633
log_nikkei,0,-0.02096701529526976,-0.02096701529526976,-0.02096701529526976
log_nikkei,1,-0.023431107029608284,-0.02938931960991427,-0.015325398250921432
log_nikkei,3,-0.02101642747518205,-0.033023076813671934,-0.006615352409170798
log_nikkei,6,-0.016834001790646175,-0.029313182966415174,0.00032492780125512185
log_nikkei,12,-0.009723214656140336,-0.022984866085318276,0.010597108750031347
log_nikkei,24,-0.0023754507568206295,-0.015111195512809325,0.014778524946650074
log_nikkei,40,0.00024963508865416236,-0.010146659171253071,0.0097775790069007
debtsec_pct,0,-0.09848336039443156,-0.09848336039443156,-0.09848336039443156
debtsec_pct,1,-0.15023985396243714,-0.3634002026743865,0.056702038943682954
debtsec_pct,3,0.07553342138630106,-0.0539151968923951,0.22449784998711214
debtsec_pct,6,0.00928587442777461,-0.036642616041224915,0.07301588375150755
debtsec_pct,12,-0.002605659183163244,-0.02452748261708432,0.027250164561437775
debtsec_pct,24,-0.0020549168245801667,-0.0125474999243054,0.012702751666766822
debtsec_pct,40,7.423799952215378e-05,-0.006508370023362297,0.0066896335131364695
equity_pct,0,-0.16429213903863804,-0.16429213903863804,-0.16429213903863804
equity_pct,1,-0.028478357604975482,-0.12735970311105818,0.09336052144525839
equity_pct,3,-0.05529075369923698,-0.12225460973072823,0.023763377590937006
equity_pct,6,0.01748609115736669,-0.016210551739413902,0.06535367592402837
equity_pct,12,0.00211524019724772,-0.01308594239935749,0.025151577633631624
equity_pct,24,-0.0015931222850850309,-0.012400450546307602,0.009042232958124905
equity_pct,40,-0.001013926667679899,-0.007986225095901224,0.00605901000549927
other_pct,0,0.16173785989005432,0.16173785989005432,0.16173785989005432
other_pct,1,0.011274044120564439,-0.3890733715174355,0.4193578175913774
other_pct,3,-0.21860862491427024,-0.4829887404760668,0.03446738074807391
other_pct,6,-0.03698910493614665,-0.14792717684424456,0.07282053292807493
other_pct,12,-0.035921556073763315,-0.08453819907942116,0.018354097925426388
other_pct,24,-0.014915714737315398,-0.03355321077053756,0.012187893046300781
other_pct,40,-0.005436691180985027,-0.014727088209903393,0.009055039002402862
direct_pct,0,0.009627254927928448,0.009627254927928448,0.009627254927928448
direct_pct,1,-0.01717022592508373,-0.050155147584756254,0.015989432862967497
direct_pct,3,0.04308838014680905,0.01321431606636288,0.06673007301101519
direct_pct,6,-0.00739004228643378,-0.02063293219572353,0.004051066197952055
direct_pct,12,-0.0008568427442931366,-0.006979249826861338,0.0038892952836782372
direct_pct,24,0.0003294036797319386,-0.003362239342117516,0.003703644463333067
direct_pct,40,0.0003760552226792172,-0.0021057647987988274,0.002341411206039164
